Model,MAE,MSE,RMSE,R2
Ordinary Least Squares,441.2364474962413,405339.6792749468,636.662924375958,0.370304131464512
k-Nearest Neighbors,330.03802450529145,274087.4107498176,523.5335813009683,0.5742047497657431
Support Vector Machine,271.9776413062,225328.4343092178,474.6877229392159,0.6499519010774173
Multi-Layer Perceptron,188.1670719177911,90727.37671098839,301.2098549367009,0.8590548687950685
Random Forest,133.86769252529552,67235.52444199786,259.29813813831726,0.8955495005184909
XGBoost,136.50931082234095,64229.01334508041,253.43443598903528,0.9002201205274214
CatBoost,136.81218091892515,59115.82452736519,243.137460148298,0.9081634678930592
LGBoost,130.3481707195726,57976.05204124151,240.78216719940352,0.9099341063532916
