Dataset,Model,Cloud cover,Predicted Value
Evenings,CatBoost,0.0,537.4899668322212
Evenings,CatBoost,0.010101010101010102,552.6826501597103
Evenings,CatBoost,0.020202020202020204,597.0435742678404
Evenings,CatBoost,0.030303030303030304,553.509944291764
Evenings,CatBoost,0.04040404040404041,545.858957312919
Evenings,CatBoost,0.05050505050505051,504.6084740363705
Evenings,CatBoost,0.06060606060606061,549.925478147152
Evenings,CatBoost,0.07070707070707072,549.925478147152
Evenings,CatBoost,0.08080808080808081,567.3313308541996
Evenings,CatBoost,0.09090909090909091,579.3283153210389
Evenings,CatBoost,0.10101010101010102,567.828314482221
Evenings,CatBoost,0.11111111111111112,534.6254463274043
Evenings,CatBoost,0.12121212121212122,534.8893235736898
Evenings,CatBoost,0.13131313131313133,534.9924651915928
Evenings,CatBoost,0.14141414141414144,565.5619649718708
Evenings,CatBoost,0.15151515151515152,543.8582872706457
Evenings,CatBoost,0.16161616161616163,537.8781846737419
Evenings,CatBoost,0.17171717171717174,534.4818090414185
Evenings,CatBoost,0.18181818181818182,534.4818090414185
Evenings,CatBoost,0.19191919191919193,517.1090435352362
Evenings,CatBoost,0.20202020202020204,509.127055869818
Evenings,CatBoost,0.21212121212121213,531.8539181318696
Evenings,CatBoost,0.22222222222222224,541.4800884749608
Evenings,CatBoost,0.23232323232323235,525.3396833796241
Evenings,CatBoost,0.24242424242424243,526.0019102351173
Evenings,CatBoost,0.25252525252525254,525.4949295799754
Evenings,CatBoost,0.26262626262626265,527.7782707320449
Evenings,CatBoost,0.27272727272727276,528.7548795492194
Evenings,CatBoost,0.2828282828282829,530.9433886648321
Evenings,CatBoost,0.29292929292929293,535.632197380343
Evenings,CatBoost,0.30303030303030304,535.8068994780414
Evenings,CatBoost,0.31313131313131315,536.2629651442887
Evenings,CatBoost,0.32323232323232326,539.9926304551609
Evenings,CatBoost,0.33333333333333337,543.3776587998118
Evenings,CatBoost,0.3434343434343435,543.3776587998118
Evenings,CatBoost,0.3535353535353536,545.7765993945677
Evenings,CatBoost,0.36363636363636365,548.6017279322879
Evenings,CatBoost,0.37373737373737376,548.8483529730188
Evenings,CatBoost,0.38383838383838387,552.7414157036052
Evenings,CatBoost,0.393939393939394,548.7942421194209
Evenings,CatBoost,0.4040404040404041,541.2743723170189
Evenings,CatBoost,0.4141414141414142,537.6079144603037
Evenings,CatBoost,0.42424242424242425,533.0161306842491
Evenings,CatBoost,0.43434343434343436,533.1587295321407
Evenings,CatBoost,0.4444444444444445,540.7441673509657
Evenings,CatBoost,0.4545454545454546,541.1923640385623
Evenings,CatBoost,0.4646464646464647,541.2495197521081
Evenings,CatBoost,0.4747474747474748,545.1941526897136
Evenings,CatBoost,0.48484848484848486,537.7590687439883
Evenings,CatBoost,0.494949494949495,540.4177982965222
Evenings,CatBoost,0.5050505050505051,542.8054149144339
Evenings,CatBoost,0.5151515151515152,565.5549129210386
Evenings,CatBoost,0.5252525252525253,548.9021680836307
Evenings,CatBoost,0.5353535353535354,553.5039119569049
Evenings,CatBoost,0.5454545454545455,565.0767087684894
Evenings,CatBoost,0.5555555555555556,565.05850939486
Evenings,CatBoost,0.5656565656565657,550.1026387010623
Evenings,CatBoost,0.5757575757575758,547.3081964062785
Evenings,CatBoost,0.5858585858585859,541.2171920422209
Evenings,CatBoost,0.595959595959596,544.3951111571125
Evenings,CatBoost,0.6060606060606061,544.3315827571628
Evenings,CatBoost,0.6161616161616162,543.4034295210455
Evenings,CatBoost,0.6262626262626263,546.1005767990727
Evenings,CatBoost,0.6363636363636365,545.4759656542964
Evenings,CatBoost,0.6464646464646465,533.2777846327067
Evenings,CatBoost,0.6565656565656566,533.2906786571189
Evenings,CatBoost,0.6666666666666667,543.1205454838886
Evenings,CatBoost,0.6767676767676768,543.1205454838886
