Dataset,Model,5 Job count,Predicted Value
All,CatBoost,3358.0,611.7976068018822
All,CatBoost,4154.414141414141,616.5023697308893
All,CatBoost,4950.828282828283,616.5023697308893
All,CatBoost,5747.242424242424,616.0354735934926
All,CatBoost,6543.656565656565,616.0371290236769
All,CatBoost,7340.070707070707,616.0371290236769
All,CatBoost,8136.484848484849,616.0371290236769
All,CatBoost,8932.89898989899,616.0371290236769
All,CatBoost,9729.31313131313,618.476836598171
All,CatBoost,10525.727272727272,609.5700912891995
All,CatBoost,11322.141414141413,604.8863487251701
All,CatBoost,12118.555555555557,603.9768427868602
All,CatBoost,12914.969696969698,603.9768427868602
All,CatBoost,13711.38383838384,599.903528436096
All,CatBoost,14507.79797979798,599.903528436096
All,CatBoost,15304.212121212122,599.903528436096
All,CatBoost,16100.626262626263,599.903528436096
All,CatBoost,16897.040404040403,599.903528436096
All,CatBoost,17693.454545454544,599.903528436096
All,CatBoost,18489.868686868685,599.903528436096
All,CatBoost,19286.282828282827,599.903528436096
All,CatBoost,20082.69696969697,599.903528436096
All,CatBoost,20879.111111111113,599.9309148651629
All,CatBoost,21675.525252525254,596.7673663486235
All,CatBoost,22471.939393939396,593.184585770052
All,CatBoost,23268.353535353537,600.8908353588799
All,CatBoost,24064.76767676768,605.315533396558
All,CatBoost,24861.18181818182,607.7954707210025
All,CatBoost,25657.59595959596,606.662200365398
All,CatBoost,26454.010101010103,606.5598466518686
All,CatBoost,27250.424242424244,603.8264227404711
All,CatBoost,28046.838383838385,604.2259819485355
All,CatBoost,28843.252525252527,604.0318738570493
All,CatBoost,29639.666666666668,581.8985227683905
All,CatBoost,30436.08080808081,614.2704950907403
All,CatBoost,31232.49494949495,597.4849917055822
All,CatBoost,32028.909090909092,597.4849917055822
All,CatBoost,32825.32323232324,597.4849917055822
All,CatBoost,33621.73737373737,597.5416427288599
All,CatBoost,34418.15151515152,597.5416427288599
All,CatBoost,35214.56565656565,597.4133060512044
All,CatBoost,36010.9797979798,597.4133060512044
All,CatBoost,36807.39393939394,597.4133060512044
All,CatBoost,37603.808080808085,597.4133060512044
All,CatBoost,38400.222222222226,597.4133060512044
All,CatBoost,39196.63636363637,597.4133060512044
All,CatBoost,39993.05050505051,597.4133060512044
All,CatBoost,40789.46464646465,597.4133060512044
All,CatBoost,41585.87878787879,597.4133060512044
All,CatBoost,42382.29292929293,597.4133060512044
All,CatBoost,43178.707070707074,597.23484267353
All,CatBoost,43975.121212121216,597.2225512393975
All,CatBoost,44771.53535353536,594.9518818213514
All,CatBoost,45567.9494949495,595.6486769669024
All,CatBoost,46364.36363636364,598.39762095166
All,CatBoost,47160.77777777778,604.1231322343294
All,CatBoost,47957.19191919192,609.9261236482512
All,CatBoost,48753.606060606064,609.9261236482512
All,CatBoost,49550.020202020205,610.4377850373469
All,CatBoost,50346.43434343435,608.9083275944355
All,CatBoost,51142.84848484849,610.7007724565408
All,CatBoost,51939.26262626263,613.1639544842883
All,CatBoost,52735.67676767677,613.1101392734647
All,CatBoost,53532.09090909091,609.9464504859428
All,CatBoost,54328.50505050505,599.0622005265396
All,CatBoost,55124.919191919194,604.2545794863195
All,CatBoost,55921.333333333336,610.1191315677576
All,CatBoost,56717.74747474748,610.1526297746325
All,CatBoost,57514.16161616162,610.1526297746325
All,CatBoost,58310.57575757576,610.4326040766533
All,CatBoost,59106.9898989899,612.6452318749375
All,CatBoost,59903.40404040404,613.057662594879
All,CatBoost,60699.818181818184,612.0434763785056
All,CatBoost,61496.232323232325,611.8326837239471
All,CatBoost,62292.64646464647,629.6454902736906
All,CatBoost,63089.06060606061,620.7957791686964
All,CatBoost,63885.47474747475,620.7957791686964
All,CatBoost,64681.88888888889,623.2202398490197
All,CatBoost,65478.30303030303,622.049755995851
