Dataset,Model,15 Tree density,Predicted Value
Mornings,CatBoost,0.0129026906687767,677.0589116154207
Mornings,CatBoost,0.01438483785285158,677.0589116154207
Mornings,CatBoost,0.01586698503692646,677.0589116154207
Mornings,CatBoost,0.01734913222100134,677.0589116154207
Mornings,CatBoost,0.01883127940507622,677.0589116154207
Mornings,CatBoost,0.0203134265891511,677.0589116154207
Mornings,CatBoost,0.02179557377322598,677.0589116154207
Mornings,CatBoost,0.02327772095730086,677.0589116154207
Mornings,CatBoost,0.02475986814137574,677.0589116154207
Mornings,CatBoost,0.02624201532545062,677.0589116154207
Mornings,CatBoost,0.0277241625095255,677.0589116154207
Mornings,CatBoost,0.029206309693600378,677.0589116154207
Mornings,CatBoost,0.030688456877675255,677.0589116154207
Mornings,CatBoost,0.03217060406175014,677.0589116154207
Mornings,CatBoost,0.033652751245825015,677.0589116154207
Mornings,CatBoost,0.0351348984298999,677.0589116154207
Mornings,CatBoost,0.036617045613974775,677.0589116154207
Mornings,CatBoost,0.03809919279804966,686.4467485597578
Mornings,CatBoost,0.039581339982124535,686.4467485597578
Mornings,CatBoost,0.04106348716619942,686.4467485597578
Mornings,CatBoost,0.042545634350274295,747.7139275644165
Mornings,CatBoost,0.04402778153434918,747.7139275644165
Mornings,CatBoost,0.045509928718424054,747.7139275644165
Mornings,CatBoost,0.04699207590249894,747.7139275644165
Mornings,CatBoost,0.048474223086573814,747.7139275644165
Mornings,CatBoost,0.0499563702706487,747.7139275644165
Mornings,CatBoost,0.051438517454723574,747.7139275644165
Mornings,CatBoost,0.05292066463879846,747.7139275644165
Mornings,CatBoost,0.054402811822873334,747.7139275644165
Mornings,CatBoost,0.05588495900694822,747.7139275644165
Mornings,CatBoost,0.057367106191023094,747.7139275644165
Mornings,CatBoost,0.05884925337509798,747.7139275644165
Mornings,CatBoost,0.060331400559172854,747.6470514470909
Mornings,CatBoost,0.06181354774324773,747.6470514470909
Mornings,CatBoost,0.06329569492732261,747.6470514470909
Mornings,CatBoost,0.06477784211139749,747.6470514470909
Mornings,CatBoost,0.06625998929547237,747.6470514470909
