Dataset,Model,15 Green area,Predicted Value
All,CatBoost,41566.4,553.5258492251564
All,CatBoost,48785.100909090914,553.5258492251564
All,CatBoost,56003.80181818182,553.5258492251564
All,CatBoost,63222.50272727273,553.5258492251564
All,CatBoost,70441.20363636364,553.5258492251564
All,CatBoost,77659.90454545454,553.5258492251564
All,CatBoost,84878.60545454547,553.565136573994
All,CatBoost,92097.30636363637,553.565136573994
All,CatBoost,99316.00727272728,553.565136573994
All,CatBoost,106534.70818181819,553.565136573994
All,CatBoost,113753.40909090909,553.565136573994
All,CatBoost,120972.11000000002,553.565136573994
All,CatBoost,128190.81090909091,553.565136573994
All,CatBoost,135409.51181818184,553.565136573994
All,CatBoost,142628.21272727274,553.565136573994
All,CatBoost,149846.91363636364,553.565136573994
All,CatBoost,157065.61454545456,553.565136573994
All,CatBoost,164284.31545454546,553.5248858599261
All,CatBoost,171503.0163636364,553.5248858599261
All,CatBoost,178721.71727272728,553.5248858599261
All,CatBoost,185940.41818181818,553.5248858599261
All,CatBoost,193159.1190909091,553.5248858599261
All,CatBoost,200377.82,553.630758908418
All,CatBoost,207596.5209090909,558.6178442096119
All,CatBoost,214815.22181818183,558.6178442096119
All,CatBoost,222033.92272727273,559.0309869551886
All,CatBoost,229252.62363636366,559.7499927547364
All,CatBoost,236471.32454545455,559.8666669080195
All,CatBoost,243690.02545454545,559.8666669080195
All,CatBoost,250908.72636363638,559.8646043591393
All,CatBoost,258127.42727272728,561.1237070178803
All,CatBoost,265346.12818181823,561.1237070178803
All,CatBoost,272564.8290909091,561.1237070178803
All,CatBoost,279783.53,560.5945531023809
All,CatBoost,287002.23090909095,560.5945531023809
All,CatBoost,294220.9318181818,560.5094029993314
All,CatBoost,301439.63272727275,560.5094029993314
All,CatBoost,308658.3336363637,579.3529912713415
All,CatBoost,315877.0345454546,579.3529912713415
All,CatBoost,323095.7354545455,579.3529912713415
All,CatBoost,330314.4363636364,579.3529912713415
All,CatBoost,337533.1372727273,579.3529912713415
All,CatBoost,344751.83818181825,579.3529912713415
All,CatBoost,351970.5390909091,579.2986598702046
All,CatBoost,359189.24000000005,579.2986598702046
All,CatBoost,366407.940909091,579.2986598702046
All,CatBoost,373626.64181818184,579.2986598702046
All,CatBoost,380845.3427272728,579.2986598702046
All,CatBoost,388064.0436363637,579.2986598702046
All,CatBoost,395282.74454545457,579.2986598702046
All,CatBoost,402501.4454545455,579.2986598702046
All,CatBoost,409720.1463636364,579.2986598702046
All,CatBoost,416938.84727272735,579.2986598702046
All,CatBoost,424157.5481818182,579.2986598702046
All,CatBoost,431376.24909090914,579.2986598702046
All,CatBoost,438594.95000000007,579.2986598702046
All,CatBoost,445813.65090909094,579.2610135940051
All,CatBoost,453032.35181818187,579.2610135940051
All,CatBoost,460251.0527272728,579.2610135940051
All,CatBoost,467469.75363636366,579.2610135940051
All,CatBoost,474688.4545454546,579.2610135940051
All,CatBoost,481907.1554545455,579.2610135940051
All,CatBoost,489125.85636363644,579.2610135940051
All,CatBoost,496344.5572727273,579.2610135940051
All,CatBoost,503563.25818181824,579.2610135940051
All,CatBoost,510781.95909090916,579.2610135940051
All,CatBoost,518000.66000000003,579.4304046469982
All,CatBoost,525219.360909091,579.4304046469982
All,CatBoost,532438.0618181819,579.4304046469982
All,CatBoost,539656.7627272728,579.4304046469982
All,CatBoost,546875.4636363636,579.5116768639776
All,CatBoost,554094.1645454546,579.5116768639776
All,CatBoost,561312.8654545455,579.5116768639776
All,CatBoost,568531.5663636364,595.9286604409346
All,CatBoost,575750.2672727273,595.9286604409346
All,CatBoost,582968.9681818183,600.8199319239528
All,CatBoost,590187.6690909092,600.8199319239528
All,CatBoost,597406.3700000001,659.3270220190054
All,CatBoost,604625.0709090909,659.3270220190054
All,CatBoost,611843.7718181818,659.3270220190054
All,CatBoost,619062.4727272728,659.3270220190054
All,CatBoost,626281.1736363637,730.4703416014275
All,CatBoost,633499.8745454546,730.4703416014275
All,CatBoost,640718.5754545456,730.4703416014275
All,CatBoost,647937.2763636365,730.4703416014275
All,CatBoost,655155.9772727273,824.8267712285445
All,CatBoost,662374.6781818182,824.8267712285445
All,CatBoost,669593.3790909091,836.7626345952816
All,CatBoost,676812.0800000001,836.7626345952816
All,CatBoost,684030.780909091,836.7626345952816
All,CatBoost,691249.4818181819,836.7626345952816
All,CatBoost,698468.1827272727,837.5835503621429
All,CatBoost,705686.8836363637,837.5835503621429
All,CatBoost,712905.5845454546,837.5835503621429
All,CatBoost,720124.2854545455,847.1212885675866
All,CatBoost,727342.9863636364,847.1212885675866
All,CatBoost,734561.6872727274,847.1212885675866
All,CatBoost,741780.3881818183,871.1585536296723
All,CatBoost,748999.0890909091,871.1585536296723
All,CatBoost,756217.79,875.0131869416326
All,LightGBM,41566.4,560.4262575508864
All,LightGBM,48785.100909090914,560.4262575508864
All,LightGBM,56003.80181818182,560.4262575508864
All,LightGBM,63222.50272727273,562.1535523095412
All,LightGBM,70441.20363636364,562.1535523095412
All,LightGBM,77659.90454545454,562.1535523095412
All,LightGBM,84878.60545454547,557.7256715256927
All,LightGBM,92097.30636363637,557.7256715256927
All,LightGBM,99316.00727272728,557.3281466993897
All,LightGBM,106534.70818181819,557.3281466993897
All,LightGBM,113753.40909090909,557.3281466993897
All,LightGBM,120972.11000000002,557.7008701145901
All,LightGBM,128190.81090909091,557.6496681330694
All,LightGBM,135409.51181818184,557.6496681330694
All,LightGBM,142628.21272727274,558.6376005406864
All,LightGBM,149846.91363636364,559.3317013748557
All,LightGBM,157065.61454545456,559.3317013748557
All,LightGBM,164284.31545454546,559.3317013748557
All,LightGBM,171503.0163636364,559.3317013748557
All,LightGBM,178721.71727272728,559.3149519202663
All,LightGBM,185940.41818181818,558.8968207702696
All,LightGBM,193159.1190909091,558.8968207702696
All,LightGBM,200377.82,560.1173748354498
All,LightGBM,207596.5209090909,596.1326101121201
All,LightGBM,214815.22181818183,596.1326101121201
All,LightGBM,222033.92272727273,596.1659711386003
All,LightGBM,229252.62363636366,584.2026919852693
All,LightGBM,236471.32454545455,583.3477878226101
All,LightGBM,243690.02545454545,582.7106632654215
All,LightGBM,250908.72636363638,582.9291861494668
All,LightGBM,258127.42727272728,582.5656430831269
All,LightGBM,265346.12818181823,582.5656430831269
All,LightGBM,272564.8290909091,582.5656430831269
All,LightGBM,279783.53,585.5746462792125
All,LightGBM,287002.23090909095,585.5746462792125
All,LightGBM,294220.9318181818,585.5131688330692
All,LightGBM,301439.63272727275,585.5131688330692
All,LightGBM,308658.3336363637,584.9260701614752
All,LightGBM,315877.0345454546,584.9260701614752
