Dataset,Model,Sky view mean,Predicted Value
Lunches,CatBoost,0.021,1115.1832162257526
Lunches,CatBoost,0.023871975091710598,1119.2567380242451
Lunches,CatBoost,0.02674395018342119,1119.3726400181538
Lunches,CatBoost,0.029615925275131787,1119.3726400181538
Lunches,CatBoost,0.03248790036684238,1119.3726400181538
Lunches,CatBoost,0.03535987545855298,1116.8716026199418
Lunches,CatBoost,0.03823185055026357,1116.8716026199418
Lunches,CatBoost,0.041103825641974165,1117.6735647332641
Lunches,CatBoost,0.04397580073368476,1118.3496228166987
Lunches,CatBoost,0.04684777582539536,1114.2919803544733
Lunches,CatBoost,0.049719750917105954,1115.2232448109457
Lunches,CatBoost,0.05259172600881655,1115.2232448109457
Lunches,CatBoost,0.055463701100527146,1115.2232448109457
Lunches,CatBoost,0.05833567619223774,1112.252317175258
Lunches,CatBoost,0.06120765128394834,1112.252317175258
Lunches,CatBoost,0.06407962637565894,1112.252317175258
Lunches,CatBoost,0.06695160146736953,1112.5533088691575
Lunches,CatBoost,0.06982357655908013,1107.8429752134286
Lunches,CatBoost,0.07269555165079072,1107.8429752134286
Lunches,CatBoost,0.07556752674250132,1107.8429752134286
Lunches,CatBoost,0.07843950183421192,1107.8429752134286
Lunches,CatBoost,0.0813114769259225,1107.8429752134286
Lunches,CatBoost,0.08418345201763311,1107.8429752134286
Lunches,CatBoost,0.0870554271093437,1107.8429752134286
Lunches,CatBoost,0.08992740220105429,1107.8429752134286
Lunches,CatBoost,0.09279937729276488,1107.8429752134286
Lunches,CatBoost,0.09567135238447548,1107.8429752134286
Lunches,CatBoost,0.09854332747618608,1104.1817231305142
Lunches,CatBoost,0.10141530256789667,1104.1817231305142
Lunches,CatBoost,0.10428727765960727,1104.1817231305142
Lunches,CatBoost,0.10715925275131787,1104.1817231305142
Lunches,CatBoost,0.11003122784302846,1108.1876058234996
Lunches,CatBoost,0.11290320293473906,1108.2044788475914
Lunches,CatBoost,0.11577517802644965,1108.2044788475914
Lunches,CatBoost,0.11864715311816025,1108.2044788475914
Lunches,CatBoost,0.12151912820987085,1108.2050013670005
Lunches,CatBoost,0.12439110330158144,1108.2050013670005
Lunches,CatBoost,0.12726307839329204,1108.2050013670005
Lunches,CatBoost,0.13013505348500262,1108.2050013670005
Lunches,CatBoost,0.13300702857671323,1108.2050013670005
Lunches,CatBoost,0.13587900366842381,1108.2050013670005
Lunches,CatBoost,0.1387509787601344,1108.2050013670005
Lunches,CatBoost,0.141622953851845,1108.2050013670005
Lunches,CatBoost,0.1444949289435556,1108.2050013670005
Lunches,CatBoost,0.1473669040352662,1108.2050013670005
Lunches,CatBoost,0.15023887912697678,1108.2050013670005
Lunches,CatBoost,0.1531108542186874,1108.2050013670005
Lunches,CatBoost,0.15598282931039797,1107.5943524059114
Lunches,CatBoost,0.15885480440210856,1108.1243117291772
Lunches,CatBoost,0.16172677949381917,1108.1243117291772
Lunches,CatBoost,0.16459875458552975,1107.9934816922566
Lunches,CatBoost,0.16747072967724036,1107.9934816922566
Lunches,CatBoost,0.17034270476895094,1107.9934816922566
Lunches,CatBoost,0.17321467986066155,1107.9934816922566
Lunches,CatBoost,0.17608665495237213,1107.9934816922566
Lunches,CatBoost,0.17895863004408274,1107.9934816922566
Lunches,CatBoost,0.18183060513579333,1107.9934816922566
Lunches,CatBoost,0.18470258022750394,1107.9934816922566
Lunches,CatBoost,0.18757455531921452,1108.050870905101
Lunches,CatBoost,0.19044653041092513,1108.050870905101
Lunches,CatBoost,0.1933185055026357,1108.050870905101
Lunches,CatBoost,0.19619048059434632,1108.050870905101
Lunches,CatBoost,0.1990624556860569,1108.050870905101
Lunches,CatBoost,0.20193443077776752,1108.050870905101
Lunches,CatBoost,0.2048064058694781,1108.050870905101
Lunches,CatBoost,0.20767838096118868,1108.050870905101
Lunches,CatBoost,0.2105503560528993,1108.050870905101
Lunches,CatBoost,0.21342233114460987,1108.050870905101
Lunches,CatBoost,0.21629430623632048,1108.050870905101
Lunches,CatBoost,0.21916628132803107,1108.050870905101
Lunches,CatBoost,0.22203825641974168,1108.050870905101
Lunches,CatBoost,0.22491023151145226,1108.050870905101
Lunches,CatBoost,0.22778220660316287,1108.050870905101
Lunches,CatBoost,0.23065418169487345,1108.050870905101
Lunches,CatBoost,0.23352615678658406,1108.050870905101
Lunches,CatBoost,0.23639813187829464,1108.050870905101
Lunches,CatBoost,0.23927010697000525,1108.050870905101
Lunches,CatBoost,0.24214208206171584,1108.050870905101
Lunches,CatBoost,0.24501405715342645,1108.050870905101
Lunches,CatBoost,0.24788603224513703,1108.050870905101
Lunches,CatBoost,0.25075800733684767,1108.050870905101
Lunches,CatBoost,0.2536299824285582,1108.050870905101
Lunches,CatBoost,0.25650195752026883,1108.106299801332
Lunches,CatBoost,0.25937393261197944,1108.106299801332
Lunches,CatBoost,0.26224590770369,1108.106299801332
Lunches,CatBoost,0.2651178827954006,1108.106299801332
Lunches,CatBoost,0.2679898578871112,1108.106299801332
Lunches,CatBoost,0.2708618329788218,1108.1160842212234
Lunches,CatBoost,0.27373380807053244,1108.1160842212234
Lunches,CatBoost,0.276605783162243,1108.1160842212234
Lunches,CatBoost,0.2794777582539536,1108.1160842212234
Lunches,CatBoost,0.2823497333456642,1108.1160842212234
Lunches,CatBoost,0.2852217084373748,1108.1160842212234
Lunches,CatBoost,0.2880936835290854,1108.1160842212234
Lunches,CatBoost,0.290965658620796,1108.1160842212234
Lunches,CatBoost,0.2938376337125066,1108.1160842212234
Lunches,CatBoost,0.29670960880421715,1108.1160842212234
Lunches,CatBoost,0.29958158389592776,1108.1160842212234
Lunches,CatBoost,0.30245355898763837,1108.1160842212234
Lunches,CatBoost,0.305325534079349,1108.1160842212234
Evenings,CatBoost,0.021,616.7233302945208
Evenings,CatBoost,0.023871975091710598,595.6280638624402
Evenings,CatBoost,0.02674395018342119,595.3026243119633
Evenings,CatBoost,0.029615925275131787,595.3026243119633
Evenings,CatBoost,0.03248790036684238,595.3026243119633
Evenings,CatBoost,0.03535987545855298,578.3695980269899
Evenings,CatBoost,0.03823185055026357,578.3695980269899
Evenings,CatBoost,0.041103825641974165,558.7440452757179
Evenings,CatBoost,0.04397580073368476,558.7453113814626
Evenings,CatBoost,0.04684777582539536,558.8870963343863
Evenings,CatBoost,0.049719750917105954,542.2481818756426
Evenings,CatBoost,0.05259172600881655,542.3970890375923
Evenings,CatBoost,0.055463701100527146,542.3970890375923
Evenings,CatBoost,0.05833567619223774,542.86375252424
Evenings,CatBoost,0.06120765128394834,542.86375252424
Evenings,CatBoost,0.06407962637565894,542.86375252424
Evenings,CatBoost,0.06695160146736953,543.5172498020461
Evenings,CatBoost,0.06982357655908013,540.4815691134798
Evenings,CatBoost,0.07269555165079072,540.2657390110226
Evenings,CatBoost,0.07556752674250132,540.2657390110226
Evenings,CatBoost,0.07843950183421192,540.2657390110226
Evenings,CatBoost,0.0813114769259225,540.2657390110226
Evenings,CatBoost,0.08418345201763311,540.2657390110226
Evenings,CatBoost,0.0870554271093437,540.2657390110226
Evenings,CatBoost,0.08992740220105429,540.2657390110226
Evenings,CatBoost,0.09279937729276488,540.2657390110226
Evenings,CatBoost,0.09567135238447548,540.2657390110226
Evenings,CatBoost,0.09854332747618608,540.2520495613356
Evenings,CatBoost,0.10141530256789667,540.2520495613356
Evenings,CatBoost,0.10428727765960727,540.2520495613356
Evenings,CatBoost,0.10715925275131787,542.8165561000711
Evenings,CatBoost,0.11003122784302846,542.8165561000711
Evenings,CatBoost,0.11290320293473906,542.8165561000711
Evenings,CatBoost,0.11577517802644965,542.8165561000711
Evenings,CatBoost,0.11864715311816025,542.8165561000711
Evenings,CatBoost,0.12151912820987085,539.4880312862437
Evenings,CatBoost,0.12439110330158144,539.4880312862437
Evenings,CatBoost,0.12726307839329204,539.4880312862437
Evenings,CatBoost,0.13013505348500262,538.2091949744666
Evenings,CatBoost,0.13300702857671323,538.2091949744666
Evenings,CatBoost,0.13587900366842381,538.2091949744666
Evenings,CatBoost,0.1387509787601344,538.2091949744666
Evenings,CatBoost,0.141622953851845,517.9330604221167
Evenings,CatBoost,0.1444949289435556,517.9330604221167
Evenings,CatBoost,0.1473669040352662,517.9330604221167
Evenings,CatBoost,0.15023887912697678,518.0774617940959
Evenings,CatBoost,0.1531108542186874,518.0774617940959
Evenings,CatBoost,0.15598282931039797,519.1445216147554
Evenings,CatBoost,0.15885480440210856,519.1445216147554
Evenings,CatBoost,0.16172677949381917,519.1445216147554
Evenings,CatBoost,0.16459875458552975,519.3660012456932
Evenings,CatBoost,0.16747072967724036,519.3660012456932
Evenings,CatBoost,0.17034270476895094,515.1054858818413
Evenings,CatBoost,0.17321467986066155,515.1054858818413
Evenings,CatBoost,0.17608665495237213,515.1054858818413
Evenings,CatBoost,0.17895863004408274,515.1498240878807
Evenings,CatBoost,0.18183060513579333,515.1498240878807
Evenings,CatBoost,0.18470258022750394,515.1498240878807
Evenings,CatBoost,0.18757455531921452,515.0008166273799
Evenings,CatBoost,0.19044653041092513,515.3461748575738
Evenings,CatBoost,0.1933185055026357,515.3461748575738
Evenings,CatBoost,0.19619048059434632,515.6611401422377
Evenings,CatBoost,0.1990624556860569,515.6611401422377
Evenings,CatBoost,0.20193443077776752,515.6611401422377
Evenings,CatBoost,0.2048064058694781,515.6611401422377
Evenings,CatBoost,0.20767838096118868,515.6611401422377
Evenings,CatBoost,0.2105503560528993,515.6611401422377
Evenings,CatBoost,0.21342233114460987,515.6611401422377
Evenings,CatBoost,0.21629430623632048,515.6611401422377
Evenings,CatBoost,0.21916628132803107,515.6611401422377
Evenings,CatBoost,0.22203825641974168,515.6611401422377
Evenings,CatBoost,0.22491023151145226,515.6611401422377
Evenings,CatBoost,0.22778220660316287,515.6611401422377
Evenings,CatBoost,0.23065418169487345,515.6611401422377
Evenings,CatBoost,0.23352615678658406,515.6611401422377
Evenings,CatBoost,0.23639813187829464,515.6611401422377
Evenings,CatBoost,0.23927010697000525,515.6611401422377
Evenings,CatBoost,0.24214208206171584,516.7397719571255
Evenings,CatBoost,0.24501405715342645,516.7397719571255
Evenings,CatBoost,0.24788603224513703,516.7397719571255
Evenings,CatBoost,0.25075800733684767,516.7397719571255
Evenings,CatBoost,0.2536299824285582,516.7397719571255
Evenings,CatBoost,0.25650195752026883,516.8240903132378
Evenings,CatBoost,0.25937393261197944,516.8240903132378
Evenings,CatBoost,0.26224590770369,516.8240903132378
Evenings,CatBoost,0.2651178827954006,516.8240903132378
Evenings,CatBoost,0.2679898578871112,516.8240903132378
Evenings,CatBoost,0.2708618329788218,549.5214524087119
Evenings,CatBoost,0.27373380807053244,549.5214524087119
Evenings,CatBoost,0.276605783162243,549.5214524087119
Evenings,CatBoost,0.2794777582539536,549.5214524087119
Evenings,CatBoost,0.2823497333456642,549.5214524087119
Evenings,CatBoost,0.2852217084373748,549.5214524087119
Evenings,CatBoost,0.2880936835290854,549.5214524087119
Evenings,CatBoost,0.290965658620796,549.0123893107271
Evenings,CatBoost,0.2938376337125066,549.0123893107271
Evenings,CatBoost,0.29670960880421715,549.0123893107271
Evenings,CatBoost,0.29958158389592776,549.0123893107271
Evenings,CatBoost,0.30245355898763837,549.0123893107271
Evenings,CatBoost,0.305325534079349,549.0123893107271
Mornings Special,CatBoost,0.021,295.60043812958014
Mornings Special,CatBoost,0.023871975091710598,294.20797243763303
Mornings Special,CatBoost,0.02674395018342119,294.20797243763303
Mornings Special,CatBoost,0.029615925275131787,294.20797243763303
Mornings Special,CatBoost,0.03248790036684238,294.20797243763303
Mornings Special,CatBoost,0.03535987545855298,294.20797243763303
Mornings Special,CatBoost,0.03823185055026357,294.20797243763303
Mornings Special,CatBoost,0.041103825641974165,294.18493660978436
Mornings Special,CatBoost,0.04397580073368476,296.7365465153991
Mornings Special,CatBoost,0.04684777582539536,296.7365465153991
Mornings Special,CatBoost,0.049719750917105954,300.6754113193301
Mornings Special,CatBoost,0.05259172600881655,300.6754113193301
Mornings Special,CatBoost,0.055463701100527146,300.6754113193301
Mornings Special,CatBoost,0.05833567619223774,301.5500997198782
Mornings Special,CatBoost,0.06120765128394834,301.5500997198782
Mornings Special,CatBoost,0.06407962637565894,301.5500997198782
Mornings Special,CatBoost,0.06695160146736953,301.99144740384986
Mornings Special,CatBoost,0.06982357655908013,302.0426161022344
Mornings Special,CatBoost,0.07269555165079072,302.0902886131452
Mornings Special,CatBoost,0.07556752674250132,302.0902886131452
Mornings Special,CatBoost,0.07843950183421192,302.0902886131452
Mornings Special,CatBoost,0.0813114769259225,302.0902886131452
Mornings Special,CatBoost,0.08418345201763311,308.11178536616853
Mornings Special,CatBoost,0.0870554271093437,308.11178536616853
Mornings Special,CatBoost,0.08992740220105429,308.11178536616853
Mornings Special,CatBoost,0.09279937729276488,308.11178536616853
Mornings Special,CatBoost,0.09567135238447548,308.11178536616853
Mornings Special,CatBoost,0.09854332747618608,308.11178536616853
Mornings Special,CatBoost,0.10141530256789667,308.11178536616853
Mornings Special,CatBoost,0.10428727765960727,308.11178536616853
Mornings Special,CatBoost,0.10715925275131787,308.33166931133024
Mornings Special,CatBoost,0.11003122784302846,308.33166931133024
Mornings Special,CatBoost,0.11290320293473906,308.33166931133024
Mornings Special,CatBoost,0.11577517802644965,308.33166931133024
Mornings Special,CatBoost,0.11864715311816025,308.33166931133024
Mornings Special,CatBoost,0.12151912820987085,308.23596541501803
Mornings Special,CatBoost,0.12439110330158144,308.23596541501803
Mornings Special,CatBoost,0.12726307839329204,308.23596541501803
Mornings Special,CatBoost,0.13013505348500262,308.23596541501803
Mornings Special,CatBoost,0.13300702857671323,308.23596541501803
Mornings Special,CatBoost,0.13587900366842381,308.23596541501803
Mornings Special,CatBoost,0.1387509787601344,308.23596541501803
Mornings Special,CatBoost,0.141622953851845,301.20055849904765
Mornings Special,CatBoost,0.1444949289435556,301.20055849904765
Mornings Special,CatBoost,0.1473669040352662,301.20055849904765
Mornings Special,CatBoost,0.15023887912697678,301.20055849904765
Mornings Special,CatBoost,0.1531108542186874,301.20055849904765
Mornings Special,CatBoost,0.15598282931039797,301.20055849904765
Mornings Special,CatBoost,0.15885480440210856,301.20055849904765
Mornings Special,CatBoost,0.16172677949381917,301.20055849904765
Mornings Special,CatBoost,0.16459875458552975,301.20055849904765
Mornings Special,CatBoost,0.16747072967724036,301.20055849904765
Mornings Special,CatBoost,0.17034270476895094,301.20055849904765
Mornings Special,CatBoost,0.17321467986066155,301.20055849904765
Mornings Special,CatBoost,0.17608665495237213,301.20055849904765
Mornings Special,CatBoost,0.17895863004408274,301.20055849904765
Mornings Special,CatBoost,0.18183060513579333,301.20055849904765
Mornings Special,CatBoost,0.18470258022750394,301.20055849904765
Mornings Special,CatBoost,0.18757455531921452,301.20055849904765
Mornings Special,CatBoost,0.19044653041092513,301.20055849904765
Mornings Special,CatBoost,0.1933185055026357,301.20055849904765
Mornings Special,CatBoost,0.19619048059434632,301.20055849904765
Mornings Special,CatBoost,0.1990624556860569,301.20055849904765
Mornings Special,CatBoost,0.20193443077776752,301.20055849904765
Mornings Special,CatBoost,0.2048064058694781,301.20055849904765
Mornings Special,CatBoost,0.20767838096118868,301.20055849904765
Mornings Special,CatBoost,0.2105503560528993,301.20055849904765
Mornings Special,CatBoost,0.21342233114460987,301.20055849904765
Mornings Special,CatBoost,0.21629430623632048,301.20055849904765
Mornings Special,CatBoost,0.21916628132803107,301.20055849904765
Mornings Special,CatBoost,0.22203825641974168,301.20055849904765
Mornings Special,CatBoost,0.22491023151145226,301.20055849904765
Mornings Special,CatBoost,0.22778220660316287,301.20055849904765
Mornings Special,CatBoost,0.23065418169487345,301.20055849904765
Mornings Special,CatBoost,0.23352615678658406,301.20055849904765
Mornings Special,CatBoost,0.23639813187829464,301.20055849904765
Mornings Special,CatBoost,0.23927010697000525,301.20055849904765
Mornings Special,CatBoost,0.24214208206171584,301.20055849904765
Mornings Special,CatBoost,0.24501405715342645,301.20055849904765
Mornings Special,CatBoost,0.24788603224513703,301.20055849904765
Mornings Special,CatBoost,0.25075800733684767,301.20055849904765
Mornings Special,CatBoost,0.2536299824285582,301.20055849904765
Mornings Special,CatBoost,0.25650195752026883,301.20055849904765
Mornings Special,CatBoost,0.25937393261197944,301.20055849904765
Mornings Special,CatBoost,0.26224590770369,301.20055849904765
Mornings Special,CatBoost,0.2651178827954006,301.20055849904765
Mornings Special,CatBoost,0.2679898578871112,301.20055849904765
Mornings Special,CatBoost,0.2708618329788218,301.43327995549413
Mornings Special,CatBoost,0.27373380807053244,301.43327995549413
Mornings Special,CatBoost,0.276605783162243,301.43327995549413
Mornings Special,CatBoost,0.2794777582539536,301.43327995549413
Mornings Special,CatBoost,0.2823497333456642,301.43327995549413
Mornings Special,CatBoost,0.2852217084373748,301.43327995549413
Mornings Special,CatBoost,0.2880936835290854,301.43327995549413
Mornings Special,CatBoost,0.290965658620796,301.7469737541733
Mornings Special,CatBoost,0.2938376337125066,301.7469737541733
Mornings Special,CatBoost,0.29670960880421715,301.7469737541733
Mornings Special,CatBoost,0.29958158389592776,301.7469737541733
Mornings Special,CatBoost,0.30245355898763837,301.7469737541733
Mornings Special,CatBoost,0.305325534079349,301.7469737541733
