Dataset,Model,5 Tree density,Predicted Value
All,CatBoost,0.0251440416790435,685.7636884222387
All,CatBoost,0.027641825573591922,685.7636884222387
All,CatBoost,0.030139609468140344,685.7636884222387
All,CatBoost,0.03263739336268876,685.3449858480673
All,CatBoost,0.03513517725723718,685.3449858480673
All,CatBoost,0.037632961151785604,685.3449858480673
All,CatBoost,0.04013074504633402,639.6783247167261
All,CatBoost,0.04262852894088244,639.6783247167261
All,CatBoost,0.045126312835430865,631.0412242552173
All,CatBoost,0.04762409672997929,631.0412242552173
All,CatBoost,0.05012188062452771,626.6928902428849
All,CatBoost,0.052619664519076126,626.6928902428849
All,CatBoost,0.05511744841362455,621.6321023740697
All,CatBoost,0.05761523230817297,621.6321023740697
All,CatBoost,0.06011301620272139,621.9163392598957
All,CatBoost,0.06261080009726981,620.9216201898049
All,CatBoost,0.06510858399181824,621.0531751549711
All,CatBoost,0.06760636788636665,621.0531751549711
All,CatBoost,0.07010415178091507,599.1463285178489
All,CatBoost,0.0726019356754635,599.50697431872
All,CatBoost,0.07509971957001191,598.8181513882329
All,CatBoost,0.07759750346456033,591.4310500534814
All,CatBoost,0.08009528735910876,591.4310500534814
All,CatBoost,0.08259307125365717,591.6908977255646
All,CatBoost,0.0850908551482056,591.3507008734069
All,CatBoost,0.08758863904275402,578.4104071958848
All,CatBoost,0.09008642293730243,576.4073939438241
All,CatBoost,0.09258420683185087,568.8631120042644
All,CatBoost,0.09508199072639928,560.6706926591531
All,CatBoost,0.09757977462094769,560.1162379912806
All,CatBoost,0.10007755851549613,554.8316426314282
All,CatBoost,0.10257534241004454,554.7330384309
All,CatBoost,0.10507312630459295,554.7330384309
All,CatBoost,0.10757091019914139,554.7330384309
All,CatBoost,0.1100686940936898,554.7330384309
All,CatBoost,0.11256647798823821,554.7330384309
All,CatBoost,0.11506426188278665,554.7330384309
All,CatBoost,0.11756204577733506,554.7330384309
All,CatBoost,0.12005982967188347,554.7330384309
All,CatBoost,0.12255761356643191,554.7330384309
All,CatBoost,0.12505539746098032,554.7330384309
All,CatBoost,0.12755318135552873,556.5366961250423
All,CatBoost,0.13005096525007717,556.5366961250423
All,CatBoost,0.13254874914462558,557.6223259119465
All,CatBoost,0.135046533039174,557.6223259119465
All,CatBoost,0.13754431693372243,557.3193656861606
All,CatBoost,0.14004210082827084,557.3193656861606
All,CatBoost,0.14253988472281925,557.4948021096477
All,CatBoost,0.1450376686173677,557.4948021096477
All,CatBoost,0.1475354525119161,557.4948021096477
All,CatBoost,0.15003323640646452,557.4948021096477
All,CatBoost,0.15253102030101295,557.4948021096477
All,CatBoost,0.15502880419556136,557.4948021096477
All,CatBoost,0.15752658809010978,557.4948021096477
All,CatBoost,0.16002437198465821,557.4948021096477
All,CatBoost,0.16252215587920663,557.4948021096477
All,CatBoost,0.16501993977375504,564.4184107417162
All,CatBoost,0.16751772366830348,564.4184107417162
All,CatBoost,0.1700155075628519,564.4184107417162
All,CatBoost,0.1725132914574003,564.4184107417162
All,CatBoost,0.17501107535194874,564.4184107417162
All,CatBoost,0.17750885924649715,564.4184107417162
All,CatBoost,0.18000664314104556,564.4184107417162
All,CatBoost,0.182504427035594,564.4184107417162
All,CatBoost,0.1850022109301424,564.4184107417162
All,CatBoost,0.18749999482469082,564.4184107417162
All,CatBoost,0.18999777871923926,564.4184107417162
All,CatBoost,0.19249556261378767,564.4184107417162
All,CatBoost,0.19499334650833608,564.4184107417162
All,CatBoost,0.19749113040288452,564.4184107417162
All,CatBoost,0.19998891429743293,564.4184107417162
All,CatBoost,0.20248669819198134,564.4184107417162
All,CatBoost,0.20498448208652978,564.4184107417162
All,CatBoost,0.2074822659810782,564.4184107417162
All,CatBoost,0.2099800498756266,564.4184107417162
All,CatBoost,0.21247783377017504,564.4184107417162
All,CatBoost,0.21497561766472345,564.4184107417162
All,CatBoost,0.21747340155927186,564.4184107417162
All,CatBoost,0.2199711854538203,564.4184107417162
All,CatBoost,0.2224689693483687,564.4184107417162
All,CatBoost,0.22496675324291715,564.4184107417162
All,CatBoost,0.22746453713746556,564.4184107417162
All,CatBoost,0.22996232103201397,562.5083394119255
All,CatBoost,0.2324601049265624,562.5083394119255
All,CatBoost,0.23495788882111082,562.5083394119255
All,CatBoost,0.23745567271565923,562.5083394119255
All,CatBoost,0.23995345661020767,562.5083394119255
All,CatBoost,0.24245124050475608,562.5083394119255
All,CatBoost,0.2449490243993045,562.5083394119255
All,CatBoost,0.24744680829385293,562.5083394119255
All,CatBoost,0.24994459218840134,562.5083394119255
All,CatBoost,0.2524423760829498,562.5083394119255
All,CatBoost,0.2549401599774982,562.5083394119255
All,CatBoost,0.2574379438720466,562.5083394119255
All,CatBoost,0.259935727766595,562.5083394119255
All,CatBoost,0.2624335116611435,562.5083394119255
All,CatBoost,0.2649312955556919,562.5083394119255
