Dataset,Model,Footprint mean,Predicted Value
Mornings Special,CatBoost,10775.347121212122,334.1862369433654
Mornings Special,CatBoost,10960.776404040404,334.1862369433654
Mornings Special,CatBoost,11146.205686868687,334.1862369433654
Mornings Special,CatBoost,11331.63496969697,334.1862369433654
Mornings Special,CatBoost,11517.064252525253,334.1862369433654
Mornings Special,CatBoost,11702.493535353535,334.1862369433654
Mornings Special,CatBoost,11887.922818181818,334.1862369433654
Mornings Special,CatBoost,12073.352101010101,334.1862369433654
Mornings Special,CatBoost,12258.781383838384,334.1862369433654
Mornings Special,CatBoost,12444.210666666668,334.1862369433654
Mornings Special,CatBoost,12629.63994949495,334.1862369433654
Mornings Special,CatBoost,12815.069232323232,334.1862369433654
Mornings Special,CatBoost,13000.498515151516,334.1862369433654
Mornings Special,CatBoost,13185.927797979799,334.1862369433654
Mornings Special,CatBoost,13371.35708080808,334.1862369433654
Mornings Special,CatBoost,13556.786363636364,334.1862369433654
Mornings Special,CatBoost,13742.215646464647,334.1862369433654
Mornings Special,CatBoost,13927.64492929293,334.1862369433654
Mornings Special,CatBoost,14113.074212121212,334.1862369433654
Mornings Special,CatBoost,14298.503494949495,334.1862369433654
Mornings Special,CatBoost,14483.932777777778,334.1862369433654
Mornings Special,CatBoost,14669.362060606061,334.1862369433654
Mornings Special,CatBoost,14854.791343434343,334.1862369433654
Mornings Special,CatBoost,15040.220626262626,345.0206065040151
Mornings Special,CatBoost,15225.64990909091,345.0206065040151
Mornings Special,CatBoost,15411.079191919192,345.0206065040151
Mornings Special,CatBoost,15596.508474747476,345.0206065040151
Mornings Special,CatBoost,15781.937757575757,345.0206065040151
Mornings Special,CatBoost,15967.36704040404,345.0206065040151
Mornings Special,CatBoost,16152.796323232324,345.0206065040151
Mornings Special,CatBoost,16338.225606060607,345.0206065040151
Mornings Special,CatBoost,16523.654888888886,345.0206065040151
Mornings Special,CatBoost,16709.08417171717,345.0206065040151
Mornings Special,CatBoost,16894.513454545453,345.0206065040151
Mornings Special,CatBoost,17079.942737373738,345.0206065040151
Mornings Special,CatBoost,17265.37202020202,345.0206065040151
Mornings Special,CatBoost,17450.801303030305,345.0206065040151
Mornings Special,CatBoost,17636.230585858586,345.0206065040151
Mornings Special,CatBoost,17821.659868686867,345.0206065040151
Mornings Special,CatBoost,18007.089151515152,345.0206065040151
Mornings Special,CatBoost,18192.518434343434,345.0206065040151
Mornings Special,CatBoost,18377.94771717172,345.0206065040151
Mornings Special,CatBoost,18563.377,345.0206065040151
