Dataset,Model,5 Bus count,Predicted Value
Mornings,LightGBM,0.0,718.32230921765
Mornings,LightGBM,0.15151515151515152,718.0463726510775
Mornings,LightGBM,0.30303030303030304,718.0463726510775
Mornings,LightGBM,0.4545454545454546,718.0463726510775
Mornings,LightGBM,0.6060606060606061,718.0463726510775
Mornings,LightGBM,0.7575757575757576,718.0463726510775
Mornings,LightGBM,0.9090909090909092,718.0463726510775
Mornings,LightGBM,1.0606060606060606,718.0463726510775
Mornings,LightGBM,1.2121212121212122,718.0463726510775
Mornings,LightGBM,1.3636363636363638,718.0463726510775
Mornings,LightGBM,1.5151515151515151,717.9774847300675
Mornings,LightGBM,1.6666666666666667,717.9774847300675
Mornings,LightGBM,1.8181818181818183,717.9774847300675
Mornings,LightGBM,1.9696969696969697,717.9774847300675
Mornings,LightGBM,2.121212121212121,717.9774847300675
Mornings,LightGBM,2.272727272727273,717.9774847300675
Mornings,LightGBM,2.4242424242424243,717.9774847300675
Mornings,LightGBM,2.5757575757575757,717.6805241857836
Mornings,LightGBM,2.7272727272727275,717.6805241857836
Mornings,LightGBM,2.878787878787879,717.6805241857836
Mornings,LightGBM,3.0303030303030303,717.6805241857836
Mornings,LightGBM,3.181818181818182,717.6805241857836
Mornings,LightGBM,3.3333333333333335,717.6805241857836
Mornings,LightGBM,3.484848484848485,717.6805241857836
Mornings,LightGBM,3.6363636363636367,717.5890190731249
Mornings,LightGBM,3.787878787878788,717.5890190731249
Mornings,LightGBM,3.9393939393939394,717.5890190731249
Mornings,LightGBM,4.090909090909091,717.5890190731249
Mornings,LightGBM,4.242424242424242,717.5890190731249
Mornings,LightGBM,4.3939393939393945,717.5890190731249
Mornings,LightGBM,4.545454545454546,717.5890190731249
Mornings,LightGBM,4.696969696969697,717.5890190731249
Mornings,LightGBM,4.848484848484849,717.5890190731249
Mornings,LightGBM,5.0,717.5890190731249
Mornings,LightGBM,5.151515151515151,717.5890190731249
Mornings,LightGBM,5.303030303030303,717.5890190731249
Mornings,LightGBM,5.454545454545455,717.5890190731249
Mornings,LightGBM,5.606060606060606,717.4888908774984
Mornings,LightGBM,5.757575757575758,717.4888908774984
Mornings,LightGBM,5.909090909090909,717.4888908774984
Mornings,LightGBM,6.0606060606060606,717.4888908774984
Mornings,LightGBM,6.212121212121212,717.4888908774984
Mornings,LightGBM,6.363636363636364,717.4888908774984
Mornings,LightGBM,6.515151515151516,717.4888908774984
Mornings,LightGBM,6.666666666666667,717.4888908774984
Mornings,LightGBM,6.818181818181818,717.4888908774984
Mornings,LightGBM,6.96969696969697,717.4888908774984
Mornings,LightGBM,7.121212121212121,717.4888908774984
Mornings,LightGBM,7.272727272727273,717.4888908774984
Mornings,LightGBM,7.424242424242425,717.4888908774984
Mornings,LightGBM,7.575757575757576,717.4888908774984
Mornings,LightGBM,7.7272727272727275,717.4888908774984
Mornings,LightGBM,7.878787878787879,717.4888908774984
Mornings,LightGBM,8.030303030303031,717.4888908774984
Mornings,LightGBM,8.181818181818182,717.4888908774984
Mornings,LightGBM,8.333333333333334,717.4888908774984
Mornings,LightGBM,8.484848484848484,717.4888908774984
Mornings,LightGBM,8.636363636363637,718.0616804299798
Mornings,LightGBM,8.787878787878789,718.0616804299798
Mornings,LightGBM,8.93939393939394,718.0616804299798
Mornings,LightGBM,9.090909090909092,718.0616804299798
Mornings,LightGBM,9.242424242424242,718.0616804299798
