Dataset,Model,Green view mean,Predicted Value
Mornings,XGBoost,0.042,740.8609619140625
Mornings,XGBoost,0.044989898989898996,740.8609619140625
Mornings,XGBoost,0.04797979797979798,740.8609619140625
Mornings,XGBoost,0.05096969696969697,735.894287109375
Mornings,XGBoost,0.053959595959595964,745.5775756835938
Mornings,XGBoost,0.05694949494949496,745.5775756835938
Mornings,XGBoost,0.059939393939393945,745.5775756835938
Mornings,XGBoost,0.06292929292929293,731.4315795898438
Mornings,XGBoost,0.06591919191919193,729.644775390625
Mornings,XGBoost,0.06890909090909092,729.644775390625
Mornings,XGBoost,0.0718989898989899,729.644775390625
Mornings,XGBoost,0.0748888888888889,729.644775390625
Mornings,XGBoost,0.07787878787878788,711.91259765625
Mornings,XGBoost,0.08086868686868687,711.91259765625
Mornings,XGBoost,0.08385858585858587,713.4219970703125
Mornings,XGBoost,0.08684848484848487,713.4219970703125
Mornings,XGBoost,0.08983838383838386,713.4219970703125
Mornings,XGBoost,0.09282828282828284,713.4219970703125
Mornings,XGBoost,0.09581818181818183,713.4219970703125
Mornings,XGBoost,0.09880808080808082,713.4219970703125
Mornings,XGBoost,0.1017979797979798,713.4219970703125
Mornings,XGBoost,0.10478787878787879,713.3565673828125
Mornings,XGBoost,0.1077777777777778,714.2001953125
Mornings,XGBoost,0.11076767676767679,714.2001953125
Mornings,XGBoost,0.11375757575757578,714.2001953125
Mornings,XGBoost,0.11674747474747477,714.2001953125
Mornings,XGBoost,0.11973737373737375,714.2001953125
Mornings,XGBoost,0.12272727272727274,714.1985473632812
Mornings,XGBoost,0.12571717171717173,714.1985473632812
Mornings,XGBoost,0.12870707070707071,711.079833984375
Mornings,XGBoost,0.13169696969696973,711.079833984375
Mornings,XGBoost,0.13468686868686872,711.079833984375
Mornings,XGBoost,0.1376767676767677,711.2534790039062
Mornings,XGBoost,0.1406666666666667,711.06298828125
Mornings,XGBoost,0.14365656565656568,711.06298828125
Mornings,XGBoost,0.14664646464646466,711.06298828125
Mornings,XGBoost,0.14963636363636365,702.1757202148438
Mornings,XGBoost,0.15262626262626264,702.1757202148438
Mornings,XGBoost,0.15561616161616165,703.4244995117188
Mornings,XGBoost,0.15860606060606064,703.4244995117188
Mornings,XGBoost,0.16159595959595963,703.4244995117188
Mornings,XGBoost,0.1645858585858586,699.0082397460938
Mornings,XGBoost,0.1675757575757576,702.9918212890625
Mornings,XGBoost,0.1705656565656566,706.0291748046875
Mornings,XGBoost,0.1735555555555556,706.0291748046875
Mornings,XGBoost,0.1765454545454546,706.0291748046875
Mornings,XGBoost,0.17953535353535358,696.6640625
Mornings,XGBoost,0.18252525252525256,686.5739135742188
Mornings,XGBoost,0.18551515151515155,686.7513427734375
Mornings,XGBoost,0.18850505050505054,686.7513427734375
Mornings,XGBoost,0.19149494949494952,686.7513427734375
Mornings,XGBoost,0.1944848484848485,685.72216796875
Mornings,XGBoost,0.1974747474747475,685.72216796875
Mornings,XGBoost,0.2004646464646465,685.72216796875
Mornings,XGBoost,0.2034545454545455,685.72216796875
Mornings,XGBoost,0.20644444444444449,686.548095703125
Mornings,XGBoost,0.20943434343434347,686.5829467773438
Mornings,XGBoost,0.21242424242424246,686.5829467773438
Mornings,XGBoost,0.21541414141414145,686.6038818359375
Mornings,XGBoost,0.21840404040404043,686.6038818359375
Mornings,XGBoost,0.22139393939393945,673.5283203125
Mornings,XGBoost,0.22438383838383844,673.5283203125
Mornings,XGBoost,0.22737373737373742,673.5283203125
Mornings,XGBoost,0.2303636363636364,673.5283203125
Mornings,XGBoost,0.2333535353535354,673.7522583007812
Mornings,XGBoost,0.23634343434343438,673.7522583007812
Mornings,XGBoost,0.23933333333333337,670.3417358398438
Mornings,XGBoost,0.24232323232323236,670.3417358398438
Mornings,XGBoost,0.24531313131313134,670.3417358398438
Mornings,XGBoost,0.24830303030303036,670.3417358398438
Mornings,XGBoost,0.25129292929292935,670.3417358398438
Mornings,XGBoost,0.25428282828282833,670.3417358398438
Mornings,XGBoost,0.2572727272727273,670.3417358398438
Mornings,XGBoost,0.2602626262626263,670.3417358398438
Mornings,XGBoost,0.2632525252525253,670.3417358398438
Mornings,XGBoost,0.2662424242424243,670.3417358398438
Mornings,XGBoost,0.26923232323232327,670.3417358398438
Mornings,XGBoost,0.27222222222222225,670.3417358398438
Mornings,XGBoost,0.27521212121212124,667.5542602539062
Mornings,XGBoost,0.27820202020202023,667.5542602539062
Mornings,XGBoost,0.2811919191919192,667.5542602539062
Mornings,XGBoost,0.2841818181818182,667.5542602539062
Mornings,XGBoost,0.2871717171717172,667.5542602539062
Mornings,XGBoost,0.2901616161616162,667.5542602539062
Mornings,XGBoost,0.29315151515151516,667.5542602539062
Mornings,XGBoost,0.29614141414141415,667.5542602539062
Mornings,XGBoost,0.29913131313131314,667.5542602539062
Mornings,XGBoost,0.3021212121212121,667.1807861328125
Mornings,XGBoost,0.30511111111111117,667.1807861328125
Mornings,XGBoost,0.30810101010101015,667.1807861328125
Mornings,XGBoost,0.31109090909090914,667.1807861328125
Mornings,XGBoost,0.3140808080808081,667.1807861328125
Mornings,XGBoost,0.3170707070707071,667.1807861328125
Mornings,XGBoost,0.3200606060606061,667.1807861328125
Mornings,XGBoost,0.3230505050505051,667.1807861328125
Mornings,XGBoost,0.3260404040404041,667.1807861328125
Mornings,XGBoost,0.32903030303030306,667.1807861328125
Mornings,XGBoost,0.33202020202020205,667.1807861328125
Mornings,XGBoost,0.33501010101010104,667.1807861328125
Mornings,XGBoost,0.338,667.1807861328125
Evenings,LightGBM,0.042,568.3981057146732
Evenings,LightGBM,0.044989898989898996,568.3981057146732
Evenings,LightGBM,0.04797979797979798,568.3981057146732
Evenings,LightGBM,0.05096969696969697,570.8497586609433
Evenings,LightGBM,0.053959595959595964,570.8497586609433
Evenings,LightGBM,0.05694949494949496,570.8497586609433
Evenings,LightGBM,0.059939393939393945,570.8497586609433
Evenings,LightGBM,0.06292929292929293,570.8497586609433
Evenings,LightGBM,0.06591919191919193,570.8497586609433
Evenings,LightGBM,0.06890909090909092,570.8497586609433
Evenings,LightGBM,0.0718989898989899,570.8497586609433
Evenings,LightGBM,0.0748888888888889,570.8497586609433
Evenings,LightGBM,0.07787878787878788,570.8497586609433
Evenings,LightGBM,0.08086868686868687,570.8497586609433
Evenings,LightGBM,0.08385858585858587,570.8497586609433
Evenings,LightGBM,0.08684848484848487,570.8497586609433
Evenings,LightGBM,0.08983838383838386,570.8497586609433
Evenings,LightGBM,0.09282828282828284,570.8497586609433
Evenings,LightGBM,0.09581818181818183,569.396416421112
Evenings,LightGBM,0.09880808080808082,569.396416421112
Evenings,LightGBM,0.1017979797979798,569.396416421112
Evenings,LightGBM,0.10478787878787879,564.8554755777411
Evenings,LightGBM,0.1077777777777778,564.8554755777411
Evenings,LightGBM,0.11076767676767679,564.8554755777411
Evenings,LightGBM,0.11375757575757578,564.8554755777411
Evenings,LightGBM,0.11674747474747477,564.8554755777411
Evenings,LightGBM,0.11973737373737375,564.8554755777411
Evenings,LightGBM,0.12272727272727274,564.8554755777411
Evenings,LightGBM,0.12571717171717173,564.1301788460299
Evenings,LightGBM,0.12870707070707071,564.1218697731114
Evenings,LightGBM,0.13169696969696973,564.0510016583452
Evenings,LightGBM,0.13468686868686872,564.0510016583452
Evenings,LightGBM,0.1376767676767677,564.0510016583452
Evenings,LightGBM,0.1406666666666667,563.9630550941096
Evenings,LightGBM,0.14365656565656568,563.9630550941096
Evenings,LightGBM,0.14664646464646466,563.9630550941096
Evenings,LightGBM,0.14963636363636365,564.0071196800656
Evenings,LightGBM,0.15262626262626264,564.0276438581129
Evenings,LightGBM,0.15561616161616165,562.3247802246915
Evenings,LightGBM,0.15860606060606064,562.3247802246915
Evenings,LightGBM,0.16159595959595963,562.3247802246915
Evenings,LightGBM,0.1645858585858586,562.3247802246915
Evenings,LightGBM,0.1675757575757576,562.3247802246915
Evenings,LightGBM,0.1705656565656566,560.074145569062
Evenings,LightGBM,0.1735555555555556,560.074145569062
Evenings,LightGBM,0.1765454545454546,558.0199132526302
Evenings,LightGBM,0.17953535353535358,558.0199132526302
Evenings,LightGBM,0.18252525252525256,557.9007278835982
Evenings,LightGBM,0.18551515151515155,557.8699324272085
Evenings,LightGBM,0.18850505050505054,557.8699324272085
Evenings,LightGBM,0.19149494949494952,456.45391992599457
Evenings,LightGBM,0.1944848484848485,456.45391992599457
Evenings,LightGBM,0.1974747474747475,456.45391992599457
Evenings,LightGBM,0.2004646464646465,456.4183925911847
Evenings,LightGBM,0.2034545454545455,456.4183925911847
Evenings,LightGBM,0.20644444444444449,456.4139932761693
Evenings,LightGBM,0.20943434343434347,456.4139932761693
Evenings,LightGBM,0.21242424242424246,456.36295584010793
Evenings,LightGBM,0.21541414141414145,456.36295584010793
Evenings,LightGBM,0.21840404040404043,456.340528540626
Evenings,LightGBM,0.22139393939393945,456.340528540626
Evenings,LightGBM,0.22438383838383844,456.340528540626
Evenings,LightGBM,0.22737373737373742,456.340528540626
Evenings,LightGBM,0.2303636363636364,456.340528540626
Evenings,LightGBM,0.2333535353535354,456.340528540626
Evenings,LightGBM,0.23634343434343438,456.340528540626
Evenings,LightGBM,0.23933333333333337,456.340528540626
Evenings,LightGBM,0.24232323232323236,456.340528540626
Evenings,LightGBM,0.24531313131313134,456.340528540626
Evenings,LightGBM,0.24830303030303036,456.340528540626
Evenings,LightGBM,0.25129292929292935,456.340528540626
Evenings,LightGBM,0.25428282828282833,456.340528540626
Evenings,LightGBM,0.2572727272727273,456.340528540626
Evenings,LightGBM,0.2602626262626263,456.340528540626
Evenings,LightGBM,0.2632525252525253,456.340528540626
Evenings,LightGBM,0.2662424242424243,456.340528540626
Evenings,LightGBM,0.26923232323232327,456.340528540626
Evenings,LightGBM,0.27222222222222225,456.340528540626
Evenings,LightGBM,0.27521212121212124,456.340528540626
Evenings,LightGBM,0.27820202020202023,456.340528540626
Evenings,LightGBM,0.2811919191919192,456.340528540626
Evenings,LightGBM,0.2841818181818182,456.340528540626
Evenings,LightGBM,0.2871717171717172,456.340528540626
Evenings,LightGBM,0.2901616161616162,450.79737779747535
Evenings,LightGBM,0.29315151515151516,450.79737779747535
Evenings,LightGBM,0.29614141414141415,450.79737779747535
Evenings,LightGBM,0.29913131313131314,450.79737779747535
Evenings,LightGBM,0.3021212121212121,450.79737779747535
Evenings,LightGBM,0.30511111111111117,450.79737779747535
Evenings,LightGBM,0.30810101010101015,450.79737779747535
Evenings,LightGBM,0.31109090909090914,450.79737779747535
Evenings,LightGBM,0.3140808080808081,450.43850638051157
Evenings,LightGBM,0.3170707070707071,450.43850638051157
Evenings,LightGBM,0.3200606060606061,450.43850638051157
Evenings,LightGBM,0.3230505050505051,450.43850638051157
Evenings,LightGBM,0.3260404040404041,450.43850638051157
Evenings,LightGBM,0.32903030303030306,450.43850638051157
Evenings,LightGBM,0.33202020202020205,450.43850638051157
Evenings,LightGBM,0.33501010101010104,450.43850638051157
Evenings,LightGBM,0.338,450.43850638051157
Evenings,XGBoost,0.042,563.9288330078125
Evenings,XGBoost,0.044989898989898996,563.9288330078125
Evenings,XGBoost,0.04797979797979798,563.9288330078125
Evenings,XGBoost,0.05096969696969697,568.5064086914062
Evenings,XGBoost,0.053959595959595964,568.5064086914062
Evenings,XGBoost,0.05694949494949496,568.5064086914062
Evenings,XGBoost,0.059939393939393945,568.5064086914062
Evenings,XGBoost,0.06292929292929293,563.6389770507812
Evenings,XGBoost,0.06591919191919193,566.780517578125
Evenings,XGBoost,0.06890909090909092,566.780517578125
Evenings,XGBoost,0.0718989898989899,566.780517578125
Evenings,XGBoost,0.0748888888888889,566.780517578125
Evenings,XGBoost,0.07787878787878788,566.7325439453125
Evenings,XGBoost,0.08086868686868687,566.7325439453125
Evenings,XGBoost,0.08385858585858587,566.7325439453125
Evenings,XGBoost,0.08684848484848487,566.7325439453125
Evenings,XGBoost,0.08983838383838386,566.7325439453125
Evenings,XGBoost,0.09282828282828284,566.7325439453125
Evenings,XGBoost,0.09581818181818183,566.7325439453125
Evenings,XGBoost,0.09880808080808082,566.7325439453125
Evenings,XGBoost,0.1017979797979798,566.7325439453125
Evenings,XGBoost,0.10478787878787879,566.67578125
Evenings,XGBoost,0.1077777777777778,566.7802124023438
Evenings,XGBoost,0.11076767676767679,566.7802124023438
Evenings,XGBoost,0.11375757575757578,566.7802124023438
Evenings,XGBoost,0.11674747474747477,566.7802124023438
Evenings,XGBoost,0.11973737373737375,566.7802124023438
Evenings,XGBoost,0.12272727272727274,566.7557983398438
Evenings,XGBoost,0.12571717171717173,566.7557983398438
Evenings,XGBoost,0.12870707070707071,565.657470703125
Evenings,XGBoost,0.13169696969696973,565.657470703125
Evenings,XGBoost,0.13468686868686872,565.657470703125
Evenings,XGBoost,0.1376767676767677,566.2000122070312
Evenings,XGBoost,0.1406666666666667,565.6439208984375
Evenings,XGBoost,0.14365656565656568,565.6439208984375
Evenings,XGBoost,0.14664646464646466,565.6439208984375
Evenings,XGBoost,0.14963636363636365,564.7420043945312
Evenings,XGBoost,0.15262626262626264,564.7420043945312
Evenings,XGBoost,0.15561616161616165,564.5057373046875
Evenings,XGBoost,0.15860606060606064,564.5057373046875
Evenings,XGBoost,0.16159595959595963,564.5057373046875
Evenings,XGBoost,0.1645858585858586,564.4819946289062
Evenings,XGBoost,0.1675757575757576,564.0763549804688
Evenings,XGBoost,0.1705656565656566,563.3690795898438
Evenings,XGBoost,0.1735555555555556,563.3690795898438
Evenings,XGBoost,0.1765454545454546,563.3690795898438
Evenings,XGBoost,0.17953535353535358,562.6651611328125
Evenings,XGBoost,0.18252525252525256,562.9141845703125
Evenings,XGBoost,0.18551515151515155,562.9141845703125
Evenings,XGBoost,0.18850505050505054,562.9141845703125
Evenings,XGBoost,0.19149494949494952,562.9141845703125
Evenings,XGBoost,0.1944848484848485,449.3173828125
Evenings,XGBoost,0.1974747474747475,449.3173828125
Evenings,XGBoost,0.2004646464646465,449.3173828125
Evenings,XGBoost,0.2034545454545455,449.3173828125
Evenings,XGBoost,0.20644444444444449,449.4047546386719
Evenings,XGBoost,0.20943434343434347,450.03631591796875
Evenings,XGBoost,0.21242424242424246,450.03631591796875
Evenings,XGBoost,0.21541414141414145,449.98956298828125
Evenings,XGBoost,0.21840404040404043,449.98956298828125
Evenings,XGBoost,0.22139393939393945,449.85931396484375
Evenings,XGBoost,0.22438383838383844,449.85931396484375
Evenings,XGBoost,0.22737373737373742,449.85931396484375
Evenings,XGBoost,0.2303636363636364,449.85931396484375
Evenings,XGBoost,0.2333535353535354,451.2771911621094
Evenings,XGBoost,0.23634343434343438,451.2771911621094
Evenings,XGBoost,0.23933333333333337,451.3924255371094
Evenings,XGBoost,0.24232323232323236,451.3924255371094
Evenings,XGBoost,0.24531313131313134,451.3924255371094
Evenings,XGBoost,0.24830303030303036,451.3924255371094
Evenings,XGBoost,0.25129292929292935,451.3924255371094
Evenings,XGBoost,0.25428282828282833,451.3924255371094
Evenings,XGBoost,0.2572727272727273,451.3924255371094
Evenings,XGBoost,0.2602626262626263,451.3924255371094
Evenings,XGBoost,0.2632525252525253,451.3924255371094
Evenings,XGBoost,0.2662424242424243,451.3924255371094
Evenings,XGBoost,0.26923232323232327,451.3924255371094
Evenings,XGBoost,0.27222222222222225,451.3924255371094
Evenings,XGBoost,0.27521212121212124,451.7405090332031
Evenings,XGBoost,0.27820202020202023,451.7405090332031
Evenings,XGBoost,0.2811919191919192,451.7405090332031
Evenings,XGBoost,0.2841818181818182,451.7405090332031
Evenings,XGBoost,0.2871717171717172,451.7405090332031
Evenings,XGBoost,0.2901616161616162,451.7405090332031
Evenings,XGBoost,0.29315151515151516,451.7405090332031
Evenings,XGBoost,0.29614141414141415,451.7405090332031
Evenings,XGBoost,0.29913131313131314,451.7405090332031
Evenings,XGBoost,0.3021212121212121,451.63116455078125
Evenings,XGBoost,0.30511111111111117,451.63116455078125
Evenings,XGBoost,0.30810101010101015,451.63116455078125
Evenings,XGBoost,0.31109090909090914,451.63116455078125
Evenings,XGBoost,0.3140808080808081,451.63116455078125
Evenings,XGBoost,0.3170707070707071,451.63116455078125
Evenings,XGBoost,0.3200606060606061,451.63116455078125
Evenings,XGBoost,0.3230505050505051,458.8841552734375
Evenings,XGBoost,0.3260404040404041,458.8841552734375
