Dataset,Model,15 Bench density,Predicted Value
All,CatBoost,0.0001125942915153,438.5903784025289
All,CatBoost,0.00011483903896527375,438.5903784025289
All,CatBoost,0.00011708378641524747,438.5903784025289
All,CatBoost,0.00011932853386522122,438.5903784025289
All,CatBoost,0.00012157328131519496,440.60578575141136
All,CatBoost,0.0001238180287651687,440.60578575141136
All,CatBoost,0.00012606277621514243,440.60578575141136
All,CatBoost,0.00012830752366511616,440.60578575141136
All,CatBoost,0.0001305522711150899,440.60578575141136
All,CatBoost,0.00013279701856506364,440.60578575141136
All,CatBoost,0.00013504176601503737,440.60578575141136
All,CatBoost,0.00013728651346501112,440.60578575141136
All,CatBoost,0.00013953126091498485,440.60578575141136
All,CatBoost,0.00014177600836495858,440.60578575141136
All,CatBoost,0.0001440207558149323,440.4976989201201
All,CatBoost,0.00014626550326490606,440.4976989201201
All,CatBoost,0.0001485102507148798,440.4976989201201
All,CatBoost,0.00015075499816485352,440.4976989201201
All,CatBoost,0.00015299974561482728,440.4976989201201
All,CatBoost,0.000155244493064801,440.4976989201201
All,CatBoost,0.00015748924051477473,440.4844289483176
All,CatBoost,0.0001597339879647485,440.4844289483176
All,CatBoost,0.00016197873541472222,440.4844289483176
All,CatBoost,0.00016422348286469594,440.4844289483176
All,CatBoost,0.0001664682303146697,440.4844289483176
All,CatBoost,0.00016871297776464343,440.4844289483176
All,CatBoost,0.00017095772521461716,440.4844289483176
All,CatBoost,0.0001732024726645909,440.4844289483176
All,CatBoost,0.00017544722011456464,440.4844289483176
All,CatBoost,0.00017769196756453837,440.4844289483176
All,CatBoost,0.00017993671501451212,440.4844289483176
All,CatBoost,0.00018218146246448585,440.4844289483176
All,CatBoost,0.00018442620991445958,440.4844289483176
All,CatBoost,0.00018667095736443333,440.4844289483176
All,CatBoost,0.00018891570481440706,440.4844289483176
All,CatBoost,0.0001911604522643808,440.4844289483176
All,CatBoost,0.00019340519971435455,440.4844289483176
All,CatBoost,0.00019564994716432827,440.4844289483176
All,CatBoost,0.000197894694614302,440.4844289483176
All,CatBoost,0.00020013944206427576,440.4844289483176
All,CatBoost,0.0002023841895142495,440.4844289483176
All,CatBoost,0.00020462893696422322,535.7153474237156
All,CatBoost,0.00020687368441419697,535.7153474237156
All,CatBoost,0.0002091184318641707,535.7153474237156
All,CatBoost,0.00021136317931414443,487.7032304041442
All,CatBoost,0.00021360792676411818,498.0647492872603
All,CatBoost,0.0002158526742140919,498.0647492872603
All,CatBoost,0.00021809742166406564,498.0647492872603
All,CatBoost,0.0002203421691140394,498.0647492872603
All,CatBoost,0.00022258691656401312,498.0647492872603
All,CatBoost,0.00022483166401398685,498.08955851809066
All,CatBoost,0.0002270764114639606,498.08955851809066
All,CatBoost,0.00022932115891393433,498.08955851809066
All,CatBoost,0.00023156590636390806,498.08955851809066
All,CatBoost,0.00023381065381388182,498.08955851809066
All,CatBoost,0.00023605540126385555,498.08955851809066
All,CatBoost,0.00023830014871382927,497.87233190966344
All,CatBoost,0.00024054489616380303,497.87233190966344
All,CatBoost,0.00024278964361377676,497.87233190966344
All,CatBoost,0.0002450343910637505,497.87233190966344
All,CatBoost,0.00024727913851372424,497.87233190966344
All,CatBoost,0.000249523885963698,497.87233190966344
All,CatBoost,0.0002517686334136717,497.87233190966344
All,CatBoost,0.00025401338086364545,497.87233190966344
All,CatBoost,0.00025625812831361915,497.87233190966344
All,CatBoost,0.0002585028757635929,497.87233190966344
All,CatBoost,0.00026074762321356667,497.8281875542125
All,CatBoost,0.0002629923706635404,497.8281875542125
All,CatBoost,0.0002652371181135141,497.8281875542125
All,CatBoost,0.0002674818655634879,497.8281875542125
All,CatBoost,0.0002697266130134616,497.8281875542125
All,CatBoost,0.00027197136046343533,498.53682224614874
All,CatBoost,0.0002742161079134091,501.6923955279105
All,CatBoost,0.00027646085536338284,501.6923955279105
All,CatBoost,0.00027870560281335655,501.6923955279105
All,CatBoost,0.0002809503502633303,501.6923955279105
All,CatBoost,0.000283195097713304,501.8072578353455
All,CatBoost,0.00028543984516327776,501.82685524634013
All,CatBoost,0.0002876845926132515,502.2561941646473
All,CatBoost,0.00028992934006322527,502.2561941646473
All,CatBoost,0.00029217408751319897,868.464799213573
All,CatBoost,0.0002944188349631727,868.1485608919603
All,CatBoost,0.0002966635824131464,866.359662646282
All,CatBoost,0.0002989083298631202,866.359662646282
All,CatBoost,0.00030115307731309394,866.3117466717842
All,CatBoost,0.0003033978247630677,867.032736832863
All,CatBoost,0.0003056425722130414,867.032736832863
All,CatBoost,0.00030788731966301515,865.8595710656266
All,CatBoost,0.00031013206711298885,865.8595710656266
All,CatBoost,0.0003123768145629626,865.8595710656266
All,CatBoost,0.00031462156201293636,850.6855808396316
All,CatBoost,0.0003168663094629101,850.6855808396316
All,CatBoost,0.0003191110569128838,845.1784155378789
All,CatBoost,0.00032135580436285757,845.1784155378789
All,CatBoost,0.0003236005518128313,847.61673807816
All,CatBoost,0.00032584529926280503,847.61673807816
All,CatBoost,0.0003280900467127788,847.61673807816
All,CatBoost,0.00033033479416275254,843.9993309411213
All,CatBoost,0.00033257954161272624,831.2171679850525
All,CatBoost,0.0003348242890627,830.9067719021623
All,LightGBM,0.0001125942915153,481.620562541804
All,LightGBM,0.00011483903896527375,444.50406723098405
All,LightGBM,0.00011708378641524747,444.50406723098405
All,LightGBM,0.00011932853386522122,444.50406723098405
All,LightGBM,0.00012157328131519496,455.2723901369896
All,LightGBM,0.0001238180287651687,455.2723901369896
All,LightGBM,0.00012606277621514243,455.2723901369896
All,LightGBM,0.00012830752366511616,455.3163749346552
All,LightGBM,0.0001305522711150899,455.3163749346552
All,LightGBM,0.00013279701856506364,455.3163749346552
All,LightGBM,0.00013504176601503737,455.3163749346552
All,LightGBM,0.00013728651346501112,455.3163749346552
All,LightGBM,0.00013953126091498485,455.3163749346552
All,LightGBM,0.00014177600836495858,455.3163749346552
All,LightGBM,0.0001440207558149323,453.89881292378726
All,LightGBM,0.00014626550326490606,453.89881292378726
All,LightGBM,0.0001485102507148798,453.89881292378726
All,LightGBM,0.00015075499816485352,453.89881292378726
All,LightGBM,0.00015299974561482728,453.89881292378726
All,LightGBM,0.000155244493064801,453.89881292378726
All,LightGBM,0.00015748924051477473,453.35492224733804
All,LightGBM,0.0001597339879647485,453.35492224733804
All,LightGBM,0.00016197873541472222,453.35492224733804
All,LightGBM,0.00016422348286469594,453.35492224733804
All,LightGBM,0.0001664682303146697,453.35492224733804
All,LightGBM,0.00016871297776464343,453.35492224733804
All,LightGBM,0.00017095772521461716,453.35492224733804
All,LightGBM,0.0001732024726645909,453.35492224733804
All,LightGBM,0.00017544722011456464,452.8888476545744
All,LightGBM,0.00017769196756453837,452.8888476545744
All,LightGBM,0.00017993671501451212,452.8888476545744
All,LightGBM,0.00018218146246448585,454.5892044497142
All,LightGBM,0.00018442620991445958,455.0852351112516
All,LightGBM,0.00018667095736443333,455.0852351112516
All,LightGBM,0.00018891570481440706,455.0852351112516
All,LightGBM,0.0001911604522643808,455.0852351112516
All,LightGBM,0.00019340519971435455,455.18705982756495
All,LightGBM,0.00019564994716432827,455.18705982756495
All,LightGBM,0.000197894694614302,455.18705982756495
All,LightGBM,0.00020013944206427576,455.18705982756495
All,LightGBM,0.0002023841895142495,455.18705982756495
All,LightGBM,0.00020462893696422322,462.71709187430326
All,LightGBM,0.00020687368441419697,462.71709187430326
All,LightGBM,0.0002091184318641707,462.71709187430326
All,LightGBM,0.00021136317931414443,424.6648787623554
All,LightGBM,0.00021360792676411818,424.4270423436332
All,LightGBM,0.0002158526742140919,424.4270423436332
All,LightGBM,0.00021809742166406564,424.97507572658304
All,LightGBM,0.0002203421691140394,424.97507572658304
All,LightGBM,0.00022258691656401312,424.97507572658304
All,LightGBM,0.00022483166401398685,425.1392313187002
All,LightGBM,0.0002270764114639606,425.1392313187002
All,LightGBM,0.00022932115891393433,425.1392313187002
All,LightGBM,0.00023156590636390806,425.2429487600486
All,LightGBM,0.00023381065381388182,425.2429487600486
All,LightGBM,0.00023605540126385555,425.2429487600486
All,LightGBM,0.00023830014871382927,425.2484763458562
All,LightGBM,0.00024054489616380303,425.0966957007034
All,LightGBM,0.00024278964361377676,425.0966957007034
All,LightGBM,0.0002450343910637505,425.0966957007034
All,LightGBM,0.00024727913851372424,425.02790144954434
All,LightGBM,0.000249523885963698,425.02790144954434
All,LightGBM,0.0002517686334136717,425.02790144954434
All,LightGBM,0.00025401338086364545,425.02790144954434
All,LightGBM,0.00025625812831361915,425.02790144954434
All,LightGBM,0.0002585028757635929,425.02790144954434
All,LightGBM,0.00026074762321356667,425.02790144954434
All,LightGBM,0.0002629923706635404,425.02790144954434
All,LightGBM,0.0002652371181135141,425.02790144954434
All,LightGBM,0.0002674818655634879,425.02790144954434
All,LightGBM,0.0002697266130134616,425.02790144954434
All,LightGBM,0.00027197136046343533,416.7210803185701
All,LightGBM,0.0002742161079134091,417.14428179874443
All,LightGBM,0.00027646085536338284,417.14428179874443
All,LightGBM,0.00027870560281335655,417.08289055070003
All,LightGBM,0.0002809503502633303,417.08289055070003
All,LightGBM,0.000283195097713304,415.70364060732595
All,LightGBM,0.00028543984516327776,474.26173555007784
All,LightGBM,0.0002876845926132515,495.48140679060356
All,LightGBM,0.00028992934006322527,477.9233067719794
All,LightGBM,0.00029217408751319897,911.3473657993167
All,LightGBM,0.0002944188349631727,912.5570653764055
All,LightGBM,0.0002966635824131464,896.319341242726
All,LightGBM,0.0002989083298631202,896.319341242726
All,LightGBM,0.00030115307731309394,892.8482462823943
All,LightGBM,0.0003033978247630677,890.3748397430899
All,LightGBM,0.0003056425722130414,890.3748397430899
All,LightGBM,0.00030788731966301515,889.667866884756
All,LightGBM,0.00031013206711298885,889.667866884756
All,LightGBM,0.0003123768145629626,889.667866884756
All,LightGBM,0.00031462156201293636,887.396289016388
All,LightGBM,0.0003168663094629101,887.396289016388
All,LightGBM,0.0003191110569128838,867.4989543836228
All,LightGBM,0.00032135580436285757,867.4989543836228
All,LightGBM,0.0003236005518128313,867.990902225188
All,LightGBM,0.00032584529926280503,867.990902225188
All,LightGBM,0.0003280900467127788,867.990902225188
All,LightGBM,0.00033033479416275254,865.8888572387799
All,LightGBM,0.00033257954161272624,847.7142345071127
All,LightGBM,0.0003348242890627,854.7454916161045
All,XGBoost,0.0001125942915153,414.3407897949219
All,XGBoost,0.00011483903896527375,414.3407897949219
All,XGBoost,0.00011708378641524747,411.1687927246094
All,XGBoost,0.00011932853386522122,411.1687927246094
All,XGBoost,0.00012157328131519496,411.1687927246094
All,XGBoost,0.0001238180287651687,411.1687927246094
All,XGBoost,0.00012606277621514243,411.1687927246094
All,XGBoost,0.00012830752366511616,411.1687927246094
All,XGBoost,0.0001305522711150899,411.1687927246094
All,XGBoost,0.00013279701856506364,411.1687927246094
All,XGBoost,0.00013504176601503737,411.1687927246094
All,XGBoost,0.00013728651346501112,411.1687927246094
All,XGBoost,0.00013953126091498485,411.1687927246094
All,XGBoost,0.00014177600836495858,411.1687927246094
All,XGBoost,0.0001440207558149323,411.1687927246094
All,XGBoost,0.00014626550326490606,411.1687927246094
All,XGBoost,0.0001485102507148798,411.1687927246094
All,XGBoost,0.00015075499816485352,411.1687927246094
All,XGBoost,0.00015299974561482728,411.1687927246094
All,XGBoost,0.000155244493064801,411.1687927246094
All,XGBoost,0.00015748924051477473,411.1687927246094
All,XGBoost,0.0001597339879647485,411.1687927246094
All,XGBoost,0.00016197873541472222,411.1947326660156
All,XGBoost,0.00016422348286469594,411.1947326660156
All,XGBoost,0.0001664682303146697,411.1947326660156
All,XGBoost,0.00016871297776464343,411.4674072265625
All,XGBoost,0.00017095772521461716,411.4674072265625
All,XGBoost,0.0001732024726645909,411.4674072265625
All,XGBoost,0.00017544722011456464,411.4674072265625
All,XGBoost,0.00017769196756453837,411.4674072265625
All,XGBoost,0.00017993671501451212,411.4674072265625
All,XGBoost,0.00018218146246448585,412.1999816894531
All,XGBoost,0.00018442620991445958,412.2515869140625
All,XGBoost,0.00018667095736443333,412.2515869140625
All,XGBoost,0.00018891570481440706,412.2515869140625
All,XGBoost,0.0001911604522643808,412.2515869140625
All,XGBoost,0.00019340519971435455,412.2515869140625
