Dataset,Model,15 Total transit stop count,Predicted Value
Lunches,CatBoost,13.0,1094.1153384203308
Lunches,CatBoost,14.272727272727273,1094.1153384203308
Lunches,CatBoost,15.545454545454545,1094.1153384203308
Lunches,CatBoost,16.81818181818182,1094.1153384203308
Lunches,CatBoost,18.09090909090909,1094.1153384203308
Lunches,CatBoost,19.363636363636363,1094.1153384203308
Lunches,CatBoost,20.636363636363637,1094.1153384203308
Lunches,CatBoost,21.909090909090907,1094.1153384203308
Lunches,CatBoost,23.18181818181818,1094.1153384203308
Lunches,CatBoost,24.454545454545453,1094.1153384203308
Lunches,CatBoost,25.727272727272727,1094.1153384203308
Lunches,CatBoost,27.0,1094.1153384203308
Lunches,CatBoost,28.272727272727273,1094.1153384203308
Lunches,CatBoost,29.545454545454547,1094.1153384203308
Lunches,CatBoost,30.818181818181817,1094.1153384203308
Lunches,CatBoost,32.09090909090909,1094.1153384203308
Lunches,CatBoost,33.36363636363636,1094.1153384203308
Lunches,CatBoost,34.63636363636364,1094.1153384203308
Lunches,CatBoost,35.90909090909091,1094.1153384203308
Lunches,CatBoost,37.18181818181818,1094.1153384203308
Lunches,CatBoost,38.45454545454545,1094.1153384203308
Lunches,CatBoost,39.72727272727273,1094.1153384203308
Lunches,CatBoost,41.0,1094.1153384203308
Lunches,CatBoost,42.27272727272727,1094.1153384203308
Lunches,CatBoost,43.54545454545455,1094.1153384203308
Lunches,CatBoost,44.81818181818181,1094.1153384203308
Lunches,CatBoost,46.09090909090909,1094.1153384203308
Lunches,CatBoost,47.36363636363636,1094.1153384203308
Lunches,CatBoost,48.63636363636363,1094.3706886160512
Lunches,CatBoost,49.90909090909091,1094.3706886160512
Lunches,CatBoost,51.18181818181818,1094.3706886160512
Lunches,CatBoost,52.45454545454545,1094.3706886160512
Lunches,CatBoost,53.72727272727273,1094.3706886160512
Lunches,CatBoost,55.0,1094.3706886160512
Lunches,CatBoost,56.27272727272727,1096.838112320112
Lunches,CatBoost,57.54545454545455,1096.838112320112
Lunches,CatBoost,58.81818181818182,1096.838112320112
Lunches,CatBoost,60.09090909090909,1096.838112320112
Lunches,CatBoost,61.36363636363636,1096.838112320112
Lunches,CatBoost,62.63636363636363,1096.838112320112
Lunches,CatBoost,63.90909090909091,1096.838112320112
Lunches,CatBoost,65.18181818181819,1096.838112320112
Lunches,CatBoost,66.45454545454545,1096.838112320112
Lunches,CatBoost,67.72727272727272,1096.838112320112
Lunches,CatBoost,69.0,1096.838112320112
Lunches,CatBoost,70.27272727272728,1096.838112320112
Lunches,CatBoost,71.54545454545455,1097.3166660717397
Lunches,CatBoost,72.81818181818181,1097.3166660717397
Lunches,CatBoost,74.0909090909091,1097.3166660717397
Lunches,CatBoost,75.36363636363636,1097.3166660717397
Lunches,CatBoost,76.63636363636363,1097.3166660717397
Lunches,CatBoost,77.9090909090909,1097.3166660717397
Lunches,CatBoost,79.18181818181819,1097.3166660717397
Lunches,CatBoost,80.45454545454545,1097.3166660717397
Lunches,CatBoost,81.72727272727272,1097.3166660717397
Lunches,CatBoost,83.0,1097.3166660717397
Lunches,CatBoost,84.27272727272727,1097.3166660717397
Lunches,CatBoost,85.54545454545455,1097.3166660717397
Lunches,CatBoost,86.81818181818181,1097.3166660717397
Lunches,CatBoost,88.0909090909091,1097.576364622047
Lunches,CatBoost,89.36363636363636,1097.576364622047
Lunches,CatBoost,90.63636363636364,1097.576364622047
Lunches,CatBoost,91.9090909090909,1097.576364622047
Lunches,CatBoost,93.18181818181819,1097.576364622047
Lunches,CatBoost,94.45454545454545,1097.6198866138175
Lunches,CatBoost,95.72727272727272,1097.6198866138175
Lunches,CatBoost,97.0,1097.6198866138175
Lunches,CatBoost,98.27272727272727,1097.6198866138175
Lunches,CatBoost,99.54545454545455,1097.6198866138175
Lunches,CatBoost,100.81818181818181,1097.1617377720054
Lunches,CatBoost,102.0909090909091,1097.1617377720054
Lunches,CatBoost,103.36363636363636,1097.1617377720054
Lunches,CatBoost,104.63636363636364,1097.1617377720054
Lunches,CatBoost,105.9090909090909,1097.1617377720054
Lunches,CatBoost,107.18181818181819,1097.1617377720054
Lunches,CatBoost,108.45454545454545,1108.9401500780034
Lunches,CatBoost,109.72727272727272,1108.9401500780034
Lunches,CatBoost,111.0,1108.9401500780034
Lunches,CatBoost,112.27272727272727,1108.9401500780034
Lunches,CatBoost,113.54545454545455,1109.2860970743664
Lunches,CatBoost,114.81818181818181,1109.308429519192
Lunches,CatBoost,116.0909090909091,1109.308429519192
Lunches,CatBoost,117.36363636363636,1108.4682498924394
Lunches,CatBoost,118.63636363636364,1108.4682498924394
