Dataset,Model,Longitude,Predicted Value
Lunches,CatBoost,144.96747841010102,1120.9275244580801
Lunches,CatBoost,144.96781708656565,1120.9275244580801
Lunches,CatBoost,144.9681557630303,1120.895738995464
Lunches,CatBoost,144.96849443949495,1120.895738995464
Lunches,CatBoost,144.9688331159596,1121.8115060317512
Lunches,CatBoost,144.96917179242425,1121.8115060317512
Lunches,CatBoost,144.9695104688889,1121.8115060317512
Lunches,CatBoost,144.96984914535355,1121.8115060317512
Lunches,CatBoost,144.97018782181817,1121.8115060317512
Lunches,CatBoost,144.97052649828282,1121.8115060317512
Lunches,CatBoost,144.97086517474747,1121.8115060317512
Lunches,CatBoost,144.97120385121212,1121.8115060317512
Lunches,CatBoost,144.97154252767677,1121.8115060317512
Lunches,CatBoost,144.97188120414143,1121.8115060317512
Lunches,CatBoost,144.97221988060605,1121.8115060317512
Lunches,CatBoost,144.9725585570707,1121.8115060317512
Lunches,CatBoost,144.97289723353535,1121.8115060317512
Lunches,CatBoost,144.97323591,1139.2296865037758
Lunches,LightGBM,144.93970694,1073.3398143060097
Lunches,LightGBM,144.94004561646466,1073.3398143060097
Lunches,LightGBM,144.9403842929293,1073.3398143060097
Lunches,LightGBM,144.94072296939396,1073.3398143060097
Lunches,LightGBM,144.94106164585858,1073.3398143060097
Lunches,LightGBM,144.94140032232323,1092.1771386179864
Lunches,LightGBM,144.94173899878788,1092.1771386179864
Lunches,LightGBM,144.94207767525253,1092.1771386179864
Lunches,LightGBM,144.94241635171718,1092.1771386179864
Lunches,LightGBM,144.94275502818184,1092.1771386179864
Lunches,LightGBM,144.94309370464646,1092.1771386179864
Lunches,LightGBM,144.9434323811111,1092.1771386179864
Lunches,LightGBM,144.94377105757576,1092.1771386179864
Lunches,LightGBM,144.9441097340404,1092.1771386179864
Lunches,LightGBM,144.94444841050506,1092.1771386179864
Lunches,LightGBM,144.9447870869697,1092.1771386179864
Lunches,LightGBM,144.94512576343436,1092.1771386179864
Lunches,LightGBM,144.94546443989898,1092.1771386179864
Lunches,LightGBM,144.94580311636363,1092.1771386179864
Lunches,LightGBM,144.94614179282829,1092.1771386179864
Lunches,LightGBM,144.94648046929294,1092.1771386179864
Lunches,LightGBM,144.9468191457576,1092.1771386179864
Lunches,LightGBM,144.94715782222224,1092.1771386179864
Lunches,LightGBM,144.9474964986869,1092.1771386179864
Lunches,LightGBM,144.9478351751515,1092.1771386179864
Lunches,LightGBM,144.94817385161616,1092.1771386179864
Lunches,LightGBM,144.9485125280808,1092.1771386179864
Lunches,LightGBM,144.94885120454546,1092.1771386179864
Lunches,LightGBM,144.9491898810101,1092.138711846027
Lunches,LightGBM,144.94952855747476,1092.138711846027
