Dataset,Model,5 Total transit stop count,Predicted Value
Mornings,LightGBM,0.0,684.7997903358772
Mornings,LightGBM,0.23232323232323232,684.5395419925342
Mornings,LightGBM,0.46464646464646464,684.5395419925342
Mornings,LightGBM,0.696969696969697,684.5395419925342
Mornings,LightGBM,0.9292929292929293,684.5395419925342
Mornings,LightGBM,1.1616161616161615,684.5395419925342
Mornings,LightGBM,1.393939393939394,684.5395419925342
Mornings,LightGBM,1.6262626262626263,684.5395419925342
Mornings,LightGBM,1.8585858585858586,684.5395419925342
Mornings,LightGBM,2.090909090909091,684.5395419925342
Mornings,LightGBM,2.323232323232323,684.5395419925342
Mornings,LightGBM,2.5555555555555554,684.5395419925342
Mornings,LightGBM,2.787878787878788,684.5395419925342
Mornings,LightGBM,3.0202020202020203,684.5395419925342
Mornings,LightGBM,3.2525252525252526,684.5395419925342
Mornings,LightGBM,3.484848484848485,684.5395419925342
Mornings,LightGBM,3.717171717171717,682.9750003355604
Mornings,LightGBM,3.9494949494949494,682.9750003355604
Mornings,LightGBM,4.181818181818182,682.9750003355604
Mornings,LightGBM,4.414141414141414,682.9750003355604
Mornings,LightGBM,4.646464646464646,682.8468073202531
Mornings,LightGBM,4.878787878787879,682.8468073202531
Mornings,LightGBM,5.111111111111111,682.8468073202531
Mornings,LightGBM,5.343434343434343,682.8468073202531
Mornings,LightGBM,5.575757575757576,683.2056886823514
Mornings,LightGBM,5.808080808080808,683.2056886823514
Mornings,LightGBM,6.040404040404041,683.2056886823514
Mornings,LightGBM,6.2727272727272725,683.2056886823514
Mornings,LightGBM,6.505050505050505,683.7611059401809
Mornings,LightGBM,6.737373737373737,683.7611059401809
Mornings,LightGBM,6.96969696969697,683.7611059401809
Mornings,LightGBM,7.2020202020202015,683.7611059401809
Mornings,LightGBM,7.434343434343434,683.7611059401809
Mornings,LightGBM,7.666666666666667,683.5746610210355
Mornings,LightGBM,7.898989898989899,683.5746610210355
Mornings,LightGBM,8.131313131313131,683.5746610210355
Mornings,LightGBM,8.363636363636363,683.5746610210355
Mornings,LightGBM,8.595959595959595,683.8979467608666
Mornings,LightGBM,8.828282828282829,683.8979467608666
Mornings,LightGBM,9.06060606060606,683.8979467608666
Mornings,LightGBM,9.292929292929292,683.8979467608666
Mornings,LightGBM,9.525252525252526,683.9713106982281
Mornings,LightGBM,9.757575757575758,683.9713106982281
Mornings,LightGBM,9.98989898989899,683.9713106982281
Mornings,LightGBM,10.222222222222221,683.9713106982281
Mornings,LightGBM,10.454545454545455,683.9713106982281
Mornings,LightGBM,10.686868686868687,684.1005611625246
Mornings,LightGBM,10.919191919191919,684.1005611625246
Mornings,LightGBM,11.151515151515152,684.1005611625246
Mornings,LightGBM,11.383838383838384,684.1005611625246
Mornings,LightGBM,11.616161616161616,684.1030989345556
Mornings,LightGBM,11.848484848484848,684.1030989345556
Mornings,LightGBM,12.080808080808081,684.1030989345556
Mornings,LightGBM,12.313131313131313,684.1030989345556
Mornings,LightGBM,12.545454545454545,684.1030989345556
Mornings,LightGBM,12.777777777777777,684.1030989345556
Mornings,LightGBM,13.01010101010101,684.1030989345556
Mornings,LightGBM,13.242424242424242,684.1030989345556
Mornings,LightGBM,13.474747474747474,684.1030989345556
Mornings,LightGBM,13.707070707070708,684.1649662366999
Mornings,LightGBM,13.93939393939394,684.1649662366999
Mornings,LightGBM,14.171717171717171,684.1649662366999
