Dataset,Model,5 Dwelling count,Predicted Value
Mornings,CatBoost,0.0,720.3239484570356
Mornings,CatBoost,81.45454545454545,720.0156333377437
Mornings,CatBoost,162.9090909090909,717.7166094192547
Mornings,CatBoost,244.36363636363637,717.5360326582346
Mornings,CatBoost,325.8181818181818,717.5360326582346
Mornings,CatBoost,407.27272727272725,714.5268758720578
Mornings,CatBoost,488.72727272727275,719.3656022716939
Mornings,CatBoost,570.1818181818181,721.9847061052893
Mornings,CatBoost,651.6363636363636,721.9847061052893
Mornings,CatBoost,733.0909090909091,721.9923485683378
Mornings,CatBoost,814.5454545454545,723.8147288301896
Mornings,CatBoost,896.0,723.8146156751967
Mornings,CatBoost,977.4545454545455,725.3740412296378
Mornings,CatBoost,1058.909090909091,717.6988203634422
Mornings,CatBoost,1140.3636363636363,717.343050728786
Mornings,CatBoost,1221.8181818181818,717.320016537052
Mornings,CatBoost,1303.2727272727273,718.0869006721687
Mornings,CatBoost,1384.7272727272727,718.3120646039359
Mornings,CatBoost,1466.1818181818182,723.068742664847
Mornings,CatBoost,1547.6363636363635,724.8421403099659
Mornings,CatBoost,1629.090909090909,717.5553076093681
Mornings,CatBoost,1710.5454545454545,717.5553076093681
Mornings,CatBoost,1792.0,717.1626755800271
Mornings,CatBoost,1873.4545454545455,715.5579574858269
Mornings,CatBoost,1954.909090909091,715.5579574858269
Mornings,CatBoost,2036.3636363636363,717.4181713079038
Mornings,CatBoost,2117.818181818182,717.4181713079038
Mornings,CatBoost,2199.272727272727,718.4821545882501
Mornings,CatBoost,2280.7272727272725,722.5988424921977
Mornings,CatBoost,2362.181818181818,722.9735717644991
Mornings,CatBoost,2443.6363636363635,722.9735717644991
Mornings,CatBoost,2525.090909090909,722.9735717644991
Mornings,CatBoost,2606.5454545454545,722.9735717644991
Mornings,CatBoost,2688.0,722.9735717644991
Mornings,CatBoost,2769.4545454545455,722.9735717644991
Mornings,CatBoost,2850.909090909091,722.9735717644991
Mornings,CatBoost,2932.3636363636365,722.9735717644991
Mornings,CatBoost,3013.818181818182,722.9735717644991
Mornings,CatBoost,3095.272727272727,722.9735717644991
Mornings,CatBoost,3176.7272727272725,722.9735717644991
Mornings,CatBoost,3258.181818181818,722.9735717644991
Mornings,CatBoost,3339.6363636363635,723.4830536487242
Mornings,CatBoost,3421.090909090909,723.4830536487242
Mornings,CatBoost,3502.5454545454545,723.4830536487242
Mornings,CatBoost,3584.0,723.4830536487242
Mornings,CatBoost,3665.4545454545455,717.2567231798662
Mornings,CatBoost,3746.909090909091,717.2567231798662
Mornings,CatBoost,3828.3636363636365,706.7459686240093
Mornings,CatBoost,3909.818181818182,706.7459686240093
Mornings,CatBoost,3991.272727272727,706.7459686240093
Mornings,CatBoost,4072.7272727272725,706.7459686240093
Mornings,CatBoost,4154.181818181818,706.7459686240093
Mornings,CatBoost,4235.636363636364,706.7459686240093
Mornings,CatBoost,4317.090909090909,706.3545367013976
Mornings,CatBoost,4398.545454545454,706.3545367013976
Mornings,CatBoost,4480.0,706.3545367013976
Mornings,CatBoost,4561.454545454545,706.3545367013976
Mornings,CatBoost,4642.909090909091,713.1467784698717
Mornings,CatBoost,4724.363636363636,713.1467784698717
Mornings,CatBoost,4805.818181818182,713.1467784698717
Mornings,CatBoost,4887.272727272727,724.282062772627
Mornings,CatBoost,4968.727272727273,724.282062772627
Mornings,CatBoost,5050.181818181818,724.282062772627
Mornings,CatBoost,5131.636363636364,744.7268613956788
Mornings,CatBoost,5213.090909090909,744.7268613956788
Mornings,CatBoost,5294.545454545454,744.7268613956788
Mornings,CatBoost,5376.0,744.7268613956788
Mornings,CatBoost,5457.454545454545,744.7268613956788
Mornings,CatBoost,5538.909090909091,744.7268613956788
Mornings,CatBoost,5620.363636363636,744.7268613956788
Mornings,CatBoost,5701.818181818182,744.7268613956788
Mornings,CatBoost,5783.272727272727,744.7268613956788
Mornings,CatBoost,5864.727272727273,744.7268613956788
Mornings,CatBoost,5946.181818181818,744.7268613956788
Mornings,CatBoost,6027.636363636364,744.7268613956788
Mornings,CatBoost,6109.090909090909,744.7268613956788
Mornings,CatBoost,6190.545454545454,744.7268613956788
Mornings,CatBoost,6272.0,744.7268613956788
Mornings,CatBoost,6353.454545454545,744.7268613956788
Mornings,CatBoost,6434.909090909091,744.7268613956788
Mornings,CatBoost,6516.363636363636,744.7268613956788
Mornings,CatBoost,6597.818181818182,744.7268613956788
Mornings,CatBoost,6679.272727272727,744.7268613956788
Mornings,CatBoost,6760.727272727273,744.7268613956788
Mornings,CatBoost,6842.181818181818,744.7268613956788
Mornings,CatBoost,6923.636363636364,744.7268613956788
Mornings,CatBoost,7005.090909090909,744.7268613956788
Mornings,CatBoost,7086.545454545454,744.7268613956788
Mornings,CatBoost,7168.0,744.7268613956788
Mornings,CatBoost,7249.454545454545,744.7268613956788
Mornings,CatBoost,7330.909090909091,744.7268613956788
Mornings,CatBoost,7412.363636363636,752.4952412649341
Mornings,CatBoost,7493.818181818182,752.4952412649341
Mornings,CatBoost,7575.272727272727,752.4952412649341
Mornings,CatBoost,7656.727272727273,752.4952412649341
Mornings,CatBoost,7738.181818181818,752.4952412649341
Mornings,CatBoost,7819.636363636364,818.219834084893
Mornings,CatBoost,7901.090909090909,818.219834084893
Mornings,CatBoost,7982.545454545454,818.219834084893
Mornings,CatBoost,8064.0,818.219834084893
Lunches,LightGBM,0.0,1088.8975470210517
Lunches,LightGBM,81.45454545454545,1088.8975470210517
Lunches,LightGBM,162.9090909090909,1088.8975470210517
Lunches,LightGBM,244.36363636363637,1088.98394588159
Lunches,LightGBM,325.8181818181818,1088.9336100913777
Lunches,LightGBM,407.27272727272725,1085.5069769272225
Lunches,LightGBM,488.72727272727275,1085.466502767351
Lunches,LightGBM,570.1818181818181,1114.3179191270926
Lunches,LightGBM,651.6363636363636,1113.252535312819
Lunches,LightGBM,733.0909090909091,1115.5416507607126
Lunches,LightGBM,814.5454545454545,1116.1946210157084
Lunches,LightGBM,896.0,1118.6732007546525
Lunches,LightGBM,977.4545454545455,1127.5362237427873
Lunches,LightGBM,1058.909090909091,1127.2680885256593
Lunches,LightGBM,1140.3636363636363,1121.1147742511153
Lunches,LightGBM,1221.8181818181818,1114.372149831403
Lunches,LightGBM,1303.2727272727273,1114.372149831403
Lunches,LightGBM,1384.7272727272727,1139.791279479673
Lunches,LightGBM,1466.1818181818182,1143.9953344939438
Lunches,LightGBM,1547.6363636363635,1141.7767630643248
Lunches,LightGBM,1629.090909090909,1141.2431823996533
Lunches,LightGBM,1710.5454545454545,1141.3698899894207
Lunches,LightGBM,1792.0,1141.3821031090483
