Dataset,Model,15 Building use diversity,Predicted Value
All,XGBoost,0.0023788313878776,645.6968383789062
All,XGBoost,0.004519847849078072,645.6968383789062
All,XGBoost,0.006660864310278543,659.4234619140625
All,XGBoost,0.008801880771479016,658.267822265625
All,XGBoost,0.010942897232679487,638.1781005859375
All,XGBoost,0.01308391369387996,633.2315063476562
All,XGBoost,0.01522493015508043,649.7052001953125
All,XGBoost,0.0173659466162809,627.1685180664062
All,XGBoost,0.019506963077481374,605.2891845703125
All,XGBoost,0.021647979538681847,591.7214965820312
All,XGBoost,0.02378899599988232,593.9781494140625
All,XGBoost,0.02593001246108279,576.646728515625
All,XGBoost,0.02807102892228326,564.50830078125
All,XGBoost,0.030212045383483734,576.8331909179688
All,XGBoost,0.03235306184468421,577.6957397460938
All,XGBoost,0.03449407830588468,579.5206909179688
All,XGBoost,0.03663509476708515,593.1934204101562
All,XGBoost,0.03877611122828562,592.3363037109375
All,XGBoost,0.0409171276894861,593.1193237304688
All,XGBoost,0.04305814415068657,593.4374389648438
All,XGBoost,0.04519916061188704,593.429931640625
All,XGBoost,0.04734017707308751,593.4714965820312
All,XGBoost,0.04948119353428798,578.5547485351562
All,XGBoost,0.05162220999548846,578.5547485351562
All,XGBoost,0.05376322645668893,580.041748046875
All,XGBoost,0.055904242917889396,579.9624633789062
All,XGBoost,0.05804525937908987,579.9624633789062
All,XGBoost,0.06018627584029034,579.9624633789062
All,XGBoost,0.06232729230149081,579.9697265625
All,XGBoost,0.06446830876269129,579.9697265625
All,XGBoost,0.06660932522389176,579.9697265625
All,XGBoost,0.06875034168509223,579.9697265625
All,XGBoost,0.0708913581462927,579.9697265625
All,XGBoost,0.07303237460749318,580.0939331054688
All,XGBoost,0.07517339106869364,580.050537109375
All,XGBoost,0.07731440752989412,580.050537109375
All,XGBoost,0.07945542399109459,580.050537109375
All,XGBoost,0.08159644045229505,580.050537109375
All,XGBoost,0.08373745691349553,580.050537109375
All,XGBoost,0.08587847337469601,580.050537109375
All,XGBoost,0.08801948983589648,580.3189697265625
All,XGBoost,0.09016050629709695,580.3189697265625
All,XGBoost,0.09230152275829742,580.3189697265625
All,XGBoost,0.0944425392194979,580.3189697265625
All,XGBoost,0.09658355568069836,580.3189697265625
All,XGBoost,0.09872457214189884,580.1546630859375
All,XGBoost,0.10086558860309931,580.1546630859375
All,XGBoost,0.10300660506429977,580.1546630859375
All,XGBoost,0.10514762152550025,580.1557006835938
All,XGBoost,0.10728863798670073,580.1557006835938
All,XGBoost,0.10942965444790119,587.1764526367188
All,XGBoost,0.11157067090910167,587.17724609375
All,XGBoost,0.11371168737030214,584.8889770507812
All,XGBoost,0.1158527038315026,584.3941650390625
All,XGBoost,0.11799372029270308,584.3941650390625
All,XGBoost,0.12013473675390356,584.3941650390625
All,XGBoost,0.12227575321510402,584.3941650390625
All,XGBoost,0.1244167696763045,584.3941650390625
All,XGBoost,0.12655778613750496,584.3941650390625
All,XGBoost,0.12869880259870542,584.3941650390625
All,XGBoost,0.1308398190599059,584.3941650390625
All,XGBoost,0.13298083552110637,584.3941650390625
All,XGBoost,0.13512185198230683,584.3941650390625
All,XGBoost,0.13726286844350732,584.3941650390625
All,XGBoost,0.1394038849047078,584.3941650390625
All,XGBoost,0.14154490136590825,584.3941650390625
All,XGBoost,0.14368591782710874,584.3941650390625
All,XGBoost,0.1458269342883092,584.3941650390625
All,XGBoost,0.14796795074950966,584.3941650390625
All,XGBoost,0.15010896721071015,584.3941650390625
All,XGBoost,0.15224998367191062,584.3941650390625
All,XGBoost,0.15439100013311108,585.6248168945312
All,XGBoost,0.15653201659431157,585.5562133789062
All,XGBoost,0.15867303305551203,585.5562133789062
All,XGBoost,0.1608140495167125,585.4525756835938
All,XGBoost,0.16295506597791298,585.4525756835938
All,XGBoost,0.16509608243911345,585.4525756835938
All,XGBoost,0.1672370989003139,585.4525756835938
All,XGBoost,0.1693781153615144,585.4525756835938
All,XGBoost,0.17151913182271486,585.4525756835938
All,XGBoost,0.17366014828391535,585.4525756835938
All,XGBoost,0.1758011647451158,585.4525756835938
All,XGBoost,0.17794218120631627,585.4525756835938
All,XGBoost,0.18008319766751676,586.4520874023438
All,XGBoost,0.18222421412871723,586.4520874023438
All,XGBoost,0.1843652305899177,586.4520874023438
All,XGBoost,0.18650624705111818,586.4520874023438
All,XGBoost,0.18864726351231864,586.4520874023438
All,XGBoost,0.1907882799735191,586.4851684570312
All,XGBoost,0.1929292964347196,586.4851684570312
All,XGBoost,0.19507031289592006,586.0120239257812
All,XGBoost,0.19721132935712052,586.0120239257812
All,XGBoost,0.199352345818321,586.0526123046875
All,XGBoost,0.20149336227952147,586.0526123046875
All,XGBoost,0.20363437874072193,586.0526123046875
All,XGBoost,0.20577539520192242,586.0526123046875
All,XGBoost,0.20791641166312289,586.0526123046875
All,XGBoost,0.21005742812432335,586.0526123046875
All,XGBoost,0.21219844458552384,586.0526123046875
All,XGBoost,0.2143394610467243,587.537841796875
Mornings,CatBoost,0.0023788313878776,757.3688319080142
Mornings,CatBoost,0.004519847849078072,761.1151651870086
Mornings,CatBoost,0.006660864310278543,777.8282726103351
Mornings,CatBoost,0.008801880771479016,765.7561912832329
Mornings,CatBoost,0.010942897232679487,754.7330274320784
Mornings,CatBoost,0.01308391369387996,754.7330274320784
Mornings,CatBoost,0.01522493015508043,789.5741589643103
Mornings,CatBoost,0.0173659466162809,753.3956969821015
Mornings,CatBoost,0.019506963077481374,740.1477847321675
Mornings,CatBoost,0.021647979538681847,728.2741181324758
Mornings,CatBoost,0.02378899599988232,727.790554386695
Mornings,CatBoost,0.02593001246108279,727.790554386695
Mornings,CatBoost,0.02807102892228326,697.7940063108058
Mornings,CatBoost,0.030212045383483734,698.1099433154368
Mornings,CatBoost,0.03235306184468421,685.3803975727056
Mornings,CatBoost,0.03449407830588468,685.3803975727056
Mornings,CatBoost,0.03663509476708515,698.1588116563607
Mornings,CatBoost,0.03877611122828562,692.8128334220318
Mornings,CatBoost,0.0409171276894861,692.8128334220318
Mornings,CatBoost,0.04305814415068657,692.8128334220318
Mornings,CatBoost,0.04519916061188704,693.7098161847545
Mornings,CatBoost,0.04734017707308751,693.7098161847545
Mornings,CatBoost,0.04948119353428798,693.7098161847545
Mornings,CatBoost,0.05162220999548846,693.7098161847545
Mornings,CatBoost,0.05376322645668893,693.7098161847545
Mornings,CatBoost,0.055904242917889396,693.7098161847545
Mornings,CatBoost,0.05804525937908987,693.7098161847545
Mornings,CatBoost,0.06018627584029034,693.7098161847545
Mornings,CatBoost,0.06232729230149081,693.7098161847545
Mornings,CatBoost,0.06446830876269129,693.7098161847545
Mornings,CatBoost,0.06660932522389176,693.7098161847545
Mornings,CatBoost,0.06875034168509223,693.7098161847545
Mornings,CatBoost,0.0708913581462927,693.7098161847545
Mornings,CatBoost,0.07303237460749318,693.7098161847545
Mornings,CatBoost,0.07517339106869364,693.7098161847545
Mornings,CatBoost,0.07731440752989412,693.7098161847545
Mornings,CatBoost,0.07945542399109459,693.7098161847545
Mornings,CatBoost,0.08159644045229505,693.7098161847545
Mornings,CatBoost,0.08373745691349553,693.7098161847545
Mornings,CatBoost,0.08587847337469601,693.7098161847545
Mornings,CatBoost,0.08801948983589648,693.7098161847545
Mornings,CatBoost,0.09016050629709695,693.7098161847545
Mornings,CatBoost,0.09230152275829742,693.7098161847545
Mornings,CatBoost,0.0944425392194979,693.7098161847545
Mornings,CatBoost,0.09658355568069836,693.7098161847545
Mornings,CatBoost,0.09872457214189884,693.7098161847545
Mornings,CatBoost,0.10086558860309931,693.7098161847545
Mornings,CatBoost,0.10300660506429977,693.7098161847545
Mornings,CatBoost,0.10514762152550025,693.7098161847545
Mornings,CatBoost,0.10728863798670073,693.7098161847545
Mornings,CatBoost,0.10942965444790119,693.7098161847545
Mornings,CatBoost,0.11157067090910167,693.7098161847545
Mornings,CatBoost,0.11371168737030214,693.7098161847545
Mornings,CatBoost,0.1158527038315026,693.8661506625779
Mornings,CatBoost,0.11799372029270308,693.8661506625779
Mornings,CatBoost,0.12013473675390356,693.8952187862916
Mornings,CatBoost,0.12227575321510402,694.9254968192953
Mornings,CatBoost,0.1244167696763045,694.9254968192953
Mornings,CatBoost,0.12655778613750496,694.9254968192953
Mornings,CatBoost,0.12869880259870542,694.9254968192953
Mornings,CatBoost,0.1308398190599059,694.9254968192953
Mornings,CatBoost,0.13298083552110637,694.9254968192953
Mornings,CatBoost,0.13512185198230683,694.9254968192953
Mornings,CatBoost,0.13726286844350732,694.9254968192953
Mornings,CatBoost,0.1394038849047078,694.6894511405472
Mornings,CatBoost,0.14154490136590825,694.6894511405472
Mornings,CatBoost,0.14368591782710874,694.6894511405472
Mornings,CatBoost,0.1458269342883092,694.6894511405472
Mornings,CatBoost,0.14796795074950966,694.6894511405472
Mornings,CatBoost,0.15010896721071015,694.6894511405472
Mornings,CatBoost,0.15224998367191062,694.6894511405472
