Dataset,Model,Wind speed,Predicted Value
All,XGBoost,0.01,611.6227416992188
All,XGBoost,0.15151515151515152,611.6227416992188
All,XGBoost,0.29303030303030303,609.806396484375
All,XGBoost,0.43454545454545457,610.6754150390625
All,XGBoost,0.576060606060606,609.6354370117188
All,XGBoost,0.7175757575757575,605.9797973632812
All,XGBoost,0.8590909090909091,605.4347534179688
All,XGBoost,1.0006060606060605,605.8291625976562
All,XGBoost,1.142121212121212,604.3155517578125
All,XGBoost,1.2836363636363637,604.6668090820312
All,XGBoost,1.425151515151515,604.3347778320312
All,XGBoost,1.5666666666666667,604.49560546875
All,XGBoost,1.7081818181818182,604.5075073242188
All,XGBoost,1.8496969696969696,604.4205932617188
All,XGBoost,1.9912121212121212,604.2623291015625
All,XGBoost,2.1327272727272724,603.3783569335938
All,XGBoost,2.274242424242424,603.8075561523438
All,XGBoost,2.4157575757575755,604.3582763671875
All,XGBoost,2.557272727272727,599.2105712890625
All,XGBoost,2.6987878787878783,599.3072509765625
All,XGBoost,2.84030303030303,599.1739501953125
All,XGBoost,2.9818181818181815,598.594482421875
All,XGBoost,3.123333333333333,598.4041137695312
All,XGBoost,3.2648484848484847,597.961669921875
All,XGBoost,3.4063636363636363,591.7559814453125
All,XGBoost,3.5478787878787874,591.8441162109375
All,XGBoost,3.689393939393939,591.0533447265625
All,XGBoost,3.8309090909090906,591.0639038085938
All,XGBoost,3.972424242424242,591.5031127929688
All,XGBoost,4.113939393939393,586.9896850585938
All,XGBoost,4.255454545454545,586.8834838867188
All,XGBoost,4.3969696969696965,586.72216796875
All,XGBoost,4.538484848484848,586.29150390625
All,XGBoost,4.68,586.0027465820312
All,XGBoost,4.821515151515151,586.1934814453125
All,XGBoost,4.963030303030303,586.4974975585938
All,XGBoost,5.1045454545454545,580.5606079101562
All,XGBoost,5.246060606060606,580.535888671875
All,XGBoost,5.387575757575757,580.68310546875
All,XGBoost,5.529090909090908,580.3136596679688
All,XGBoost,5.67060606060606,580.0861206054688
All,XGBoost,5.812121212121212,579.9105224609375
All,XGBoost,5.953636363636363,579.5194702148438
All,XGBoost,6.095151515151515,579.4764404296875
All,XGBoost,6.236666666666666,579.6201171875
All,XGBoost,6.378181818181818,579.596923828125
All,XGBoost,6.5196969696969695,577.3407592773438
All,XGBoost,6.661212121212121,577.470947265625
All,XGBoost,6.802727272727273,577.53564453125
All,XGBoost,6.944242424242423,577.3325805664062
All,XGBoost,7.085757575757575,577.3838500976562
All,XGBoost,7.227272727272727,576.2976684570312
All,XGBoost,7.368787878787878,576.3018188476562
All,XGBoost,7.51030303030303,576.01171875
All,XGBoost,7.651818181818181,576.1612548828125
All,XGBoost,7.793333333333333,574.9841918945312
All,XGBoost,7.934848484848485,574.7821655273438
All,XGBoost,8.076363636363636,574.7901000976562
All,XGBoost,8.217878787878787,575.205078125
All,XGBoost,8.35939393939394,575.2185668945312
All,XGBoost,8.50090909090909,573.9407348632812
All,XGBoost,8.642424242424243,572.6260375976562
All,XGBoost,8.783939393939393,573.0040893554688
All,XGBoost,8.925454545454546,573.82373046875
All,XGBoost,9.066969696969696,573.82373046875
All,XGBoost,9.208484848484847,573.8682861328125
All,XGBoost,9.35,571.2623901367188
All,XGBoost,9.49151515151515,567.7830810546875
