Dataset,Model,Hour,Predicted Value
All,CatBoost,0.0,140.90629961348614
All,CatBoost,0.23232323232323232,140.90629961348614
All,CatBoost,0.46464646464646464,140.90629961348614
All,CatBoost,0.696969696969697,81.78226731318667
All,CatBoost,0.9292929292929293,81.78226731318667
All,CatBoost,1.1616161616161615,81.78226731318667
All,CatBoost,1.393939393939394,81.78226731318667
All,CatBoost,1.6262626262626263,50.55532740998084
All,CatBoost,1.8585858585858586,50.55532740998084
All,CatBoost,2.090909090909091,50.55532740998084
All,CatBoost,2.323232323232323,50.55532740998084
All,CatBoost,2.5555555555555554,40.27903752668688
All,CatBoost,2.787878787878788,40.27903752668688
All,CatBoost,3.0202020202020203,40.27903752668688
All,CatBoost,3.2525252525252526,40.27903752668688
All,CatBoost,3.484848484848485,40.27903752668688
All,CatBoost,3.717171717171717,34.14945040259428
All,CatBoost,3.9494949494949494,34.14945040259428
All,CatBoost,4.181818181818182,34.14945040259428
All,CatBoost,4.414141414141414,34.14945040259428
All,CatBoost,4.646464646464646,47.9197650023683
All,CatBoost,4.878787878787879,47.9197650023683
All,CatBoost,5.111111111111111,47.9197650023683
All,CatBoost,5.343434343434343,47.9197650023683
All,CatBoost,5.575757575757576,136.7009958069087
All,CatBoost,5.808080808080808,136.7009958069087
All,CatBoost,6.040404040404041,136.7009958069087
All,CatBoost,6.2727272727272725,136.7009958069087
All,CatBoost,6.505050505050505,374.0889741120454
All,CatBoost,6.737373737373737,374.0889741120454
All,CatBoost,6.96969696969697,374.0889741120454
All,CatBoost,7.2020202020202015,374.0889741120454
All,CatBoost,7.434343434343434,374.0889741120454
All,CatBoost,7.666666666666667,764.2466808658587
All,CatBoost,7.898989898989899,764.2466808658587
All,CatBoost,8.131313131313131,764.2466808658587
All,CatBoost,8.363636363636363,764.2466808658587
All,CatBoost,8.595959595959595,607.2675289766308
All,CatBoost,8.828282828282829,607.2675289766308
All,CatBoost,9.06060606060606,607.2675289766308
All,CatBoost,9.292929292929292,607.2675289766308
All,CatBoost,9.525252525252526,622.1256151895427
All,CatBoost,9.757575757575758,622.1256151895427
All,CatBoost,9.98989898989899,622.1256151895427
All,CatBoost,10.222222222222221,622.1256151895427
All,CatBoost,10.454545454545455,622.1256151895427
All,CatBoost,10.686868686868687,778.4654770533755
All,CatBoost,10.919191919191919,778.4654770533755
All,CatBoost,11.151515151515152,778.4654770533755
All,CatBoost,11.383838383838384,778.4654770533755
All,CatBoost,11.616161616161616,1181.410004339553
All,CatBoost,11.848484848484848,1181.410004339553
All,CatBoost,12.080808080808081,1181.410004339553
All,CatBoost,12.313131313131313,1181.410004339553
All,CatBoost,12.545454545454545,1233.9140912851096
All,CatBoost,12.777777777777777,1233.9140912851096
All,CatBoost,13.01010101010101,1233.9140912851096
All,CatBoost,13.242424242424242,1233.9140912851096
All,CatBoost,13.474747474747474,1233.9140912851096
