Dataset,Model,5 Intersection density,Predicted Value
All,XGBoost,0.0008929573727663,638.4187622070312
All,XGBoost,0.000905590083117095,638.4187622070312
All,XGBoost,0.0009182227934678899,638.4187622070312
All,XGBoost,0.0009308555038186849,638.4187622070312
All,XGBoost,0.0009434882141694798,638.4187622070312
All,XGBoost,0.0009561209245202748,638.4187622070312
All,XGBoost,0.0009687536348710697,641.562255859375
All,XGBoost,0.0009813863452218647,641.562255859375
All,XGBoost,0.0009940190555726596,628.9292602539062
All,XGBoost,0.0010066517659234546,628.9292602539062
All,XGBoost,0.0010192844762742495,625.0037231445312
All,XGBoost,0.0010319171866250444,625.0037231445312
All,XGBoost,0.0010445498969758394,625.0037231445312
All,XGBoost,0.0010571826073266343,625.0037231445312
All,XGBoost,0.0010698153176774293,625.0037231445312
All,XGBoost,0.0010824480280282242,625.0037231445312
All,XGBoost,0.0010950807383790192,647.8282470703125
All,XGBoost,0.0011077134487298141,647.8282470703125
All,XGBoost,0.001120346159080609,630.361572265625
All,XGBoost,0.001132978869431404,630.361572265625
All,XGBoost,0.001145611579782199,630.361572265625
All,XGBoost,0.001158244290132994,575.6493530273438
All,XGBoost,0.0011708770004837889,575.6493530273438
All,XGBoost,0.0011835097108345838,575.6493530273438
All,XGBoost,0.0011961424211853788,575.6493530273438
All,XGBoost,0.0012087751315361737,575.6493530273438
All,XGBoost,0.0012214078418869687,575.6493530273438
All,XGBoost,0.0012340405522377636,575.6493530273438
All,XGBoost,0.0012466732625885585,575.6493530273438
All,XGBoost,0.0012593059729393535,575.6493530273438
All,XGBoost,0.0012719386832901484,575.6493530273438
All,XGBoost,0.0012845713936409434,575.6493530273438
All,XGBoost,0.0012972041039917383,575.4007568359375
All,XGBoost,0.0013098368143425333,575.4007568359375
All,XGBoost,0.0013224695246933282,575.4007568359375
All,XGBoost,0.0013351022350441232,575.4007568359375
All,XGBoost,0.0013477349453949181,575.4007568359375
All,XGBoost,0.001360367655745713,575.4007568359375
All,XGBoost,0.001373000366096508,575.4007568359375
All,XGBoost,0.0013856330764473032,575.2529296875
All,XGBoost,0.0013982657867980981,575.2529296875
All,XGBoost,0.001410898497148893,574.8107299804688
