Dataset,Model,15 Job count,Predicted Value
All,CatBoost,228825.9393939394,644.2901283657299
All,CatBoost,231455.98989898988,638.7046101643293
All,CatBoost,234086.0404040404,640.741324285038
All,CatBoost,236716.09090909088,645.6986672138804
All,CatBoost,239346.1414141414,645.6986672138804
All,CatBoost,241976.19191919192,648.331056659383
All,CatBoost,244606.2424242424,648.1360450544778
All,CatBoost,247236.29292929292,645.8514681768772
All,CatBoost,249866.3434343434,668.0303780361376
All,CatBoost,252496.39393939392,656.3135937791349
All,CatBoost,255126.44444444444,649.7744602547683
All,CatBoost,257756.49494949493,648.2276350743181
All,CatBoost,260386.54545454544,650.0362181975869
All,CatBoost,263016.5959595959,650.0362181975869
All,CatBoost,265646.64646464644,650.0362181975869
All,CatBoost,268276.69696969696,650.6659465608116
All,CatBoost,270906.7474747475,650.6659465608116
All,CatBoost,273536.79797979794,650.6659465608116
All,CatBoost,276166.84848484845,650.8712806417143
All,CatBoost,278796.89898989897,657.2256920886349
All,CatBoost,281426.9494949495,657.2256920886349
All,CatBoost,284057.0,657.2256920886349
All,LightGBM,23682.0,481.9698730306202
All,LightGBM,26312.050505050505,490.3885480511231
All,LightGBM,28942.10101010101,490.3885480511231
All,LightGBM,31572.151515151512,505.9046485374873
All,LightGBM,34202.20202020202,505.9046485374873
All,LightGBM,36832.25252525252,505.9046485374873
All,LightGBM,39462.303030303025,505.9046485374873
All,LightGBM,42092.35353535353,504.76433067107763
All,LightGBM,44722.40404040404,504.5647983796641
All,LightGBM,47352.454545454544,504.69495111192157
All,LightGBM,49982.505050505046,504.69495111192157
All,LightGBM,52612.555555555555,509.93762499875487
All,LightGBM,55242.60606060606,509.93762499875487
All,LightGBM,57872.656565656565,510.4405373764632
All,LightGBM,60502.70707070707,510.4405373764632
All,LightGBM,63132.757575757576,510.4405373764632
All,LightGBM,65762.80808080808,506.4249577816238
All,LightGBM,68392.85858585857,506.4249577816238
All,LightGBM,71022.90909090909,506.4249577816238
All,LightGBM,73652.95959595959,506.8432793036445
