Dataset,Model,5 Lamp density,Predicted Value
All,CatBoost,0.0,581.8457519353599
All,CatBoost,0.000394847331005202,581.8457519353599
All,CatBoost,0.000789694662010404,581.8457519353599
All,CatBoost,0.001184541993015606,581.8457519353599
All,CatBoost,0.001579389324020808,581.8457519353599
All,CatBoost,0.00197423665502601,581.8457519353599
All,CatBoost,0.002369083986031212,581.8457519353599
All,CatBoost,0.0027639313170364143,581.8457519353599
All,CatBoost,0.003158778648041616,581.6048293214282
All,CatBoost,0.003553625979046818,582.3938636118909
All,CatBoost,0.00394847331005202,578.5897471317681
All,CatBoost,0.004343320641057222,578.9609444521448
All,CatBoost,0.004738167972062424,578.9609444521448
All,CatBoost,0.005133015303067626,580.7474512976404
All,CatBoost,0.005527862634072829,582.229583628807
All,CatBoost,0.0059227099650780305,583.7803489387069
All,CatBoost,0.006317557296083232,583.2861235321982
All,CatBoost,0.006712404627088434,583.3064518299603
All,CatBoost,0.007107251958093636,585.4648700534315
All,CatBoost,0.0075020992890988385,585.4648700534315
All,CatBoost,0.00789694662010404,585.4648700534315
All,CatBoost,0.008291793951109242,585.4648700534315
All,CatBoost,0.008686641282114445,585.4739937998811
All,CatBoost,0.009081488613119646,601.7223699509741
All,CatBoost,0.009476335944124848,602.1335246909315
All,CatBoost,0.009871183275130051,602.1335246909315
All,CatBoost,0.010266030606135252,602.4237248124289
All,CatBoost,0.010660877937140455,602.4237248124289
All,CatBoost,0.011055725268145657,602.4498598394667
All,CatBoost,0.011450572599150858,602.4498598394667
All,CatBoost,0.011845419930156061,602.4498598394667
All,CatBoost,0.012240267261161262,602.4498598394667
All,CatBoost,0.012635114592166465,602.4498598394667
All,CatBoost,0.013029961923171667,603.0936993113543
All,CatBoost,0.013424809254176868,603.0936993113543
All,CatBoost,0.01381965658518207,603.0936993113543
All,CatBoost,0.014214503916187272,603.0936993113543
All,CatBoost,0.014609351247192474,603.0936993113543
All,CatBoost,0.015004198578197677,603.0936993113543
All,CatBoost,0.015399045909202878,603.0936993113543
All,CatBoost,0.01579389324020808,603.0936993113543
All,CatBoost,0.01618874057121328,603.0936993113543
All,CatBoost,0.016583587902218484,603.1578122240421
All,CatBoost,0.016978435233223687,603.1578122240421
All,CatBoost,0.01737328256422889,603.1578122240421
All,CatBoost,0.017768129895234092,603.1578122240421
All,CatBoost,0.01816297722623929,603.1578122240421
All,CatBoost,0.018557824557244494,602.9941019004261
All,CatBoost,0.018952671888249697,602.9941019004261
All,CatBoost,0.0193475192192549,602.9941019004261
All,CatBoost,0.019742366550260102,602.9941019004261
All,CatBoost,0.0201372138812653,602.9941019004261
All,CatBoost,0.020532061212270504,602.9941019004261
All,CatBoost,0.020926908543275707,602.9941019004261
All,CatBoost,0.02132175587428091,603.1671532490694
All,CatBoost,0.021716603205286112,603.1671532490694
All,CatBoost,0.022111450536291315,603.1671532490694
All,CatBoost,0.022506297867296514,603.1671532490694
All,CatBoost,0.022901145198301717,603.1671532490694
All,CatBoost,0.02329599252930692,603.5229627213766
All,CatBoost,0.023690839860312122,603.5229627213766
All,CatBoost,0.024085687191317325,603.2994734968191
All,CatBoost,0.024480534522322524,603.2994734968191
All,CatBoost,0.024875381853327726,602.5520926807513
All,CatBoost,0.02527022918433293,602.6076702044822
All,CatBoost,0.025665076515338132,602.6076702044822
All,CatBoost,0.026059923846343334,602.6076702044822
All,CatBoost,0.026454771177348534,602.6076702044822
All,CatBoost,0.026849618508353736,602.6076702044822
All,CatBoost,0.02724446583935894,615.0100133674797
All,CatBoost,0.02763931317036414,615.0100133674797
