Dataset,Model,Road view mean,Predicted Value
All,CatBoost,0.0276666666666667,607.7184520145032
All,CatBoost,0.032003367003367034,607.7184520145032
All,CatBoost,0.036340067340067374,607.7184520145032
All,CatBoost,0.040676767676767714,607.7184520145032
All,CatBoost,0.04501346801346805,607.7184520145032
All,CatBoost,0.04935016835016838,607.7184520145032
All,CatBoost,0.05368686868686872,605.175430571288
All,CatBoost,0.05802356902356906,605.175430571288
All,CatBoost,0.062360269360269394,605.175430571288
All,CatBoost,0.06669696969696973,605.175430571288
All,CatBoost,0.07103367003367006,605.175430571288
All,CatBoost,0.07537037037037041,605.175430571288
All,CatBoost,0.07970707070707074,605.175430571288
All,CatBoost,0.08404377104377107,600.5610961638183
All,CatBoost,0.08838047138047142,600.5610961638183
All,CatBoost,0.09271717171717175,585.3551528214008
All,CatBoost,0.09705387205387209,585.3551528214008
All,CatBoost,0.10139057239057242,583.8870710743723
All,CatBoost,0.10572727272727275,583.8870710743723
All,CatBoost,0.1100639730639731,583.8870710743723
All,CatBoost,0.11440067340067343,583.8870710743723
All,CatBoost,0.11873737373737377,565.6014495242764
All,CatBoost,0.12307407407407411,565.6014495242764
All,CatBoost,0.12741077441077445,565.6014495242764
All,CatBoost,0.13174747474747478,565.6014495242764
All,CatBoost,0.1360841750841751,564.1338442854682
All,CatBoost,0.14042087542087545,564.1338442854682
All,CatBoost,0.1447575757575758,564.1338442854682
All,CatBoost,0.1490942760942761,564.1338442854682
All,CatBoost,0.15343097643097647,564.2147746309097
All,CatBoost,0.1577676767676768,564.2126289952752
All,CatBoost,0.16210437710437714,564.1887636239339
All,CatBoost,0.16644107744107747,564.1887430112304
All,CatBoost,0.1707777777777778,564.1976091388972
All,CatBoost,0.17511447811447814,565.0140048968943
All,CatBoost,0.17945117845117847,582.4627612114848
All,CatBoost,0.1837878787878788,582.4627612114848
All,CatBoost,0.18812457912457917,594.4284637420725
All,CatBoost,0.1924612794612795,607.3444036853185
All,CatBoost,0.19679797979797983,607.3444036853185
All,CatBoost,0.20113468013468017,607.3444036853185
All,CatBoost,0.2054713804713805,620.9593891585259
All,CatBoost,0.20980808080808083,620.9593891585259
All,CatBoost,0.21414478114478117,621.9410640546934
All,CatBoost,0.21848148148148153,621.9410640546934
All,CatBoost,0.22281818181818186,621.9410640546934
All,CatBoost,0.2271548821548822,622.9176528699728
All,CatBoost,0.23149158249158253,622.9176528699728
All,CatBoost,0.23582828282828286,625.4234371713314
All,CatBoost,0.2401649831649832,625.4234371713314
All,CatBoost,0.24450168350168353,625.3971899253811
All,CatBoost,0.24883838383838386,625.4287274665143
All,CatBoost,0.25317508417508416,625.4287274665143
All,CatBoost,0.2575117845117846,625.4287274665143
All,CatBoost,0.2618484848484849,625.4287274665143
All,CatBoost,0.2661851851851852,625.4932164344727
All,CatBoost,0.27052188552188555,625.4932164344727
All,CatBoost,0.2748585858585859,625.4932164344727
All,CatBoost,0.2791952861952862,625.5148305945644
All,CatBoost,0.2835319865319865,625.5148305945644
All,CatBoost,0.28786868686868694,625.5148305945644
All,CatBoost,0.29220538720538725,625.5148305945644
All,CatBoost,0.29654208754208755,625.5148305945644
All,CatBoost,0.30087878787878786,625.5148305945644
All,CatBoost,0.3052154882154883,625.5148305945644
All,CatBoost,0.3095521885521886,625.5148305945644
All,CatBoost,0.3138888888888889,625.5148305945644
All,CatBoost,0.3182255892255893,625.5148305945644
All,CatBoost,0.3225622895622896,625.5148305945644
All,CatBoost,0.3268989898989899,625.5148305945644
All,CatBoost,0.3312356902356902,625.5148305945644
All,CatBoost,0.33557239057239063,625.5148305945644
All,CatBoost,0.33990909090909094,625.5148305945644
All,CatBoost,0.34424579124579124,625.5148305945644
All,CatBoost,0.34858249158249166,625.5148305945644
All,CatBoost,0.35291919191919197,625.5148305945644
All,CatBoost,0.35725589225589227,625.5148305945644
All,CatBoost,0.3615925925925926,625.5148305945644
All,CatBoost,0.365929292929293,625.5148305945644
All,CatBoost,0.3702659932659933,625.5148305945644
All,CatBoost,0.3746026936026936,625.5148305945644
All,CatBoost,0.378939393939394,625.5148305945644
All,CatBoost,0.3832760942760943,625.5148305945644
All,CatBoost,0.38761279461279463,625.5148305945644
All,CatBoost,0.39194949494949494,625.5148305945644
All,CatBoost,0.39628619528619535,625.5148305945644
