Dataset,Model,15 Lamp density,Predicted Value
Mornings,CatBoost,0.0008111073827763,661.7271831226313
Mornings,CatBoost,0.0009199517299241707,661.7271831226313
Mornings,CatBoost,0.0010287960770720415,661.7271831226313
Mornings,CatBoost,0.0011376404242199121,661.7271831226313
Mornings,CatBoost,0.0012464847713677828,661.7271831226313
Mornings,CatBoost,0.0013553291185156536,661.7271831226313
Mornings,CatBoost,0.0014641734656635243,661.7271831226313
Mornings,CatBoost,0.001573017812811395,661.7271831226313
Mornings,CatBoost,0.0016818621599592656,661.7271831226313
Mornings,CatBoost,0.0017907065071071364,661.7271831226313
Mornings,CatBoost,0.001899550854255007,661.7271831226313
Mornings,CatBoost,0.0020083952014028775,661.7271831226313
Mornings,CatBoost,0.0021172395485507486,661.7271831226313
Mornings,CatBoost,0.0022260838956986192,661.7271831226313
Mornings,CatBoost,0.00233492824284649,661.7271831226313
Mornings,CatBoost,0.002443772589994361,661.7271831226313
Mornings,CatBoost,0.0025526169371422316,661.7271831226313
Mornings,CatBoost,0.0026614612842901023,661.7271831226313
Mornings,CatBoost,0.002770305631437973,661.7271831226313
Mornings,CatBoost,0.0028791499785858436,666.8218179196462
Mornings,CatBoost,0.002987994325733714,666.8218179196462
Mornings,CatBoost,0.003096838672881585,666.817331376709
Mornings,CatBoost,0.0032056830200294555,666.817331376709
Mornings,CatBoost,0.0033145273671773266,665.7883700738148
Mornings,CatBoost,0.0034233717143251972,665.7883700738148
Mornings,CatBoost,0.003532216061473068,665.7883700738148
Mornings,CatBoost,0.0036410604086209385,665.7883700738148
Mornings,CatBoost,0.003749904755768809,665.7883700738148
Mornings,CatBoost,0.00385874910291668,665.7883700738148
Mornings,CatBoost,0.003967593450064551,665.7883700738148
Mornings,CatBoost,0.0040764377972124215,665.7883700738148
Mornings,CatBoost,0.004185282144360292,665.7883700738148
Mornings,CatBoost,0.004294126491508163,665.7883700738148
Mornings,CatBoost,0.0044029708386560335,661.3934597176013
Mornings,CatBoost,0.004511815185803904,661.3934597176013
Mornings,CatBoost,0.004620659532951775,661.3934597176013
Mornings,CatBoost,0.004729503880099645,661.3934597176013
Mornings,CatBoost,0.004838348227247517,661.3934597176013
Mornings,CatBoost,0.004947192574395387,661.3934597176013
Mornings,CatBoost,0.005056036921543258,660.2636845505411
Mornings,CatBoost,0.005164881268691128,660.2636845505411
Mornings,CatBoost,0.0052737256158389995,660.2636845505411
Mornings,CatBoost,0.005382569962986869,660.2636845505411
Mornings,CatBoost,0.005491414310134741,660.2636845505411
Mornings,CatBoost,0.005600258657282611,656.7724484319589
Mornings,CatBoost,0.005709103004430482,656.7724484319589
Mornings,CatBoost,0.005817947351578354,656.7724484319589
Mornings,CatBoost,0.005926791698726223,656.7724484319589
Mornings,CatBoost,0.006035636045874095,656.7724484319589
Mornings,CatBoost,0.006144480393021965,659.3822717182658
Mornings,CatBoost,0.006253324740169836,658.7692623231751
Mornings,CatBoost,0.006362169087317706,658.7692623231751
Mornings,CatBoost,0.0064710134344655775,658.5987675767789
Mornings,CatBoost,0.006579857781613447,658.5987675767789
Mornings,CatBoost,0.006688702128761319,658.5987675767789
Mornings,CatBoost,0.006797546475909189,658.5987675767789
Mornings,CatBoost,0.00690639082305706,658.5987675767789
Mornings,CatBoost,0.00701523517020493,658.5987675767789
Mornings,CatBoost,0.007124079517352801,717.956519998109
Mornings,CatBoost,0.007232923864500673,741.620049520209
Mornings,CatBoost,0.007341768211648543,741.620049520209
Mornings,CatBoost,0.007450612558796414,741.5994379261192
Mornings,CatBoost,0.007559456905944284,751.1448636547336
Mornings,CatBoost,0.0076683012530921555,752.1001177254304
Mornings,CatBoost,0.007777145600240025,752.1001177254304
Mornings,CatBoost,0.007885989947387897,752.1001177254304
Mornings,CatBoost,0.007994834294535767,757.247085856636
Mornings,CatBoost,0.008103678641683638,766.3327522658074
Mornings,CatBoost,0.008212522988831508,766.3327522658074
Mornings,CatBoost,0.00832136733597938,766.3327522658074
Mornings,CatBoost,0.00843021168312725,766.3327522658074
Mornings,CatBoost,0.00853905603027512,766.3327522658074
Mornings,CatBoost,0.008647900377422992,766.3327522658074
Mornings,CatBoost,0.008756744724570862,766.3327522658074
Mornings,CatBoost,0.008865589071718733,766.3327522658074
Mornings,CatBoost,0.008974433418866603,766.3889406541448
Mornings,CatBoost,0.009083277766014475,766.3889406541448
Mornings,CatBoost,0.009192122113162346,766.3889406541448
