Dataset,Model,Closeness centrality,Predicted Value
Afternoons,LightGBM,0.005,1306.837545830803
Afternoons,LightGBM,0.005121212121212121,1306.837545830803
Afternoons,LightGBM,0.005242424242424243,1306.837545830803
Afternoons,LightGBM,0.005363636363636364,1306.837545830803
Afternoons,LightGBM,0.005484848484848485,1306.837545830803
Afternoons,LightGBM,0.005606060606060606,1306.837545830803
Afternoons,LightGBM,0.0057272727272727275,1306.837545830803
Afternoons,LightGBM,0.0058484848484848485,1306.837545830803
Afternoons,LightGBM,0.0059696969696969695,1306.837545830803
Afternoons,LightGBM,0.006090909090909091,1306.837545830803
Afternoons,LightGBM,0.006212121212121212,1306.837545830803
Afternoons,LightGBM,0.006333333333333333,1306.837545830803
Afternoons,LightGBM,0.006454545454545454,1306.837545830803
Afternoons,LightGBM,0.006575757575757576,1306.837545830803
Afternoons,LightGBM,0.006696969696969697,1306.837545830803
Afternoons,LightGBM,0.006818181818181819,1306.837545830803
Afternoons,LightGBM,0.00693939393939394,1306.837545830803
Afternoons,LightGBM,0.007060606060606061,1306.837545830803
Afternoons,LightGBM,0.007181818181818182,1306.837545830803
Afternoons,LightGBM,0.0073030303030303025,1306.837545830803
Afternoons,LightGBM,0.007424242424242424,1306.837545830803
Afternoons,LightGBM,0.007545454545454545,1306.390238580168
Afternoons,LightGBM,0.007666666666666667,1306.390238580168
Afternoons,LightGBM,0.007787878787878788,1306.390238580168
Afternoons,LightGBM,0.007909090909090909,1306.390238580168
Afternoons,LightGBM,0.00803030303030303,1306.390238580168
Afternoons,LightGBM,0.008151515151515151,1306.390238580168
Afternoons,LightGBM,0.008272727272727272,1306.390238580168
Afternoons,LightGBM,0.008393939393939395,1306.390238580168
Afternoons,LightGBM,0.008515151515151516,1158.0456112124389
Afternoons,LightGBM,0.008636363636363636,1158.0456112124389
Afternoons,LightGBM,0.008757575757575757,1158.0456112124389
Afternoons,LightGBM,0.008878787878787878,1158.0456112124389
Afternoons,LightGBM,0.009000000000000001,1158.0456112124389
Afternoons,LightGBM,0.00912121212121212,1158.0456112124389
Afternoons,LightGBM,0.009242424242424243,1158.0456112124389
Afternoons,LightGBM,0.009363636363636364,1158.0456112124389
Afternoons,LightGBM,0.009484848484848485,1158.0456112124389
Afternoons,LightGBM,0.009606060606060606,1159.4000288562254
Afternoons,LightGBM,0.009727272727272727,1159.4000288562254
Afternoons,LightGBM,0.00984848484848485,1159.4000288562254
Afternoons,LightGBM,0.009969696969696969,1159.4000288562254
Afternoons,LightGBM,0.010090909090909091,1159.4000288562254
Afternoons,LightGBM,0.010212121212121212,1159.4000288562254
Afternoons,LightGBM,0.010333333333333333,1159.4000288562254
Afternoons,LightGBM,0.010454545454545454,1159.4000288562254
Afternoons,LightGBM,0.010575757575757575,1169.5635803909197
Afternoons,LightGBM,0.010696969696969698,1169.5635803909197
Afternoons,LightGBM,0.010818181818181817,1169.5635803909197
Afternoons,LightGBM,0.01093939393939394,1169.5635803909197
Afternoons,LightGBM,0.01106060606060606,1169.5635803909197
Afternoons,LightGBM,0.011181818181818182,1169.5635803909197
Afternoons,LightGBM,0.011303030303030303,1169.5635803909197
Afternoons,LightGBM,0.011424242424242424,1169.5635803909197
Afternoons,LightGBM,0.011545454545454546,1169.378466068392
Afternoons,LightGBM,0.011666666666666665,1169.378466068392
Afternoons,LightGBM,0.011787878787878788,1169.378466068392
Afternoons,LightGBM,0.011909090909090909,1169.378466068392
