Dataset,Model,15 Bus count,Predicted Value
Mornings Special,LightGBM,5.0,302.98787221377705
Mornings Special,LightGBM,5.606060606060606,302.98787221377705
Mornings Special,LightGBM,6.212121212121212,302.98787221377705
Mornings Special,LightGBM,6.818181818181818,301.24534617530765
Mornings Special,LightGBM,7.424242424242424,301.24534617530765
Mornings Special,LightGBM,8.030303030303031,301.24534617530765
Mornings Special,LightGBM,8.636363636363637,301.24534617530765
Mornings Special,LightGBM,9.242424242424242,301.24534617530765
Mornings Special,LightGBM,9.848484848484848,301.24534617530765
Mornings Special,LightGBM,10.454545454545455,301.24534617530765
Mornings Special,LightGBM,11.06060606060606,300.6455866921586
Mornings Special,LightGBM,11.666666666666668,300.6455866921586
Mornings Special,LightGBM,12.272727272727273,300.8999626977742
Mornings Special,LightGBM,12.878787878787879,300.8999626977742
Mornings Special,LightGBM,13.484848484848484,300.8999626977742
Mornings Special,LightGBM,14.090909090909092,300.8999626977742
Mornings Special,LightGBM,14.696969696969697,300.8999626977742
Mornings Special,LightGBM,15.303030303030303,300.8999626977742
Mornings Special,LightGBM,15.90909090909091,300.8999626977742
Mornings Special,LightGBM,16.515151515151516,300.8999626977742
Mornings Special,LightGBM,17.12121212121212,300.85751806015656
Mornings Special,LightGBM,17.727272727272727,300.85751806015656
Mornings Special,LightGBM,18.333333333333336,300.85751806015656
Mornings Special,LightGBM,18.939393939393938,300.38937571311936
Mornings Special,LightGBM,19.545454545454547,300.18347204709477
Mornings Special,LightGBM,20.151515151515152,300.18347204709477
Mornings Special,LightGBM,20.757575757575758,300.18347204709477
Mornings Special,LightGBM,21.363636363636363,300.18347204709477
Mornings Special,LightGBM,21.96969696969697,300.188150997922
Mornings Special,LightGBM,22.575757575757578,300.188150997922
Mornings Special,LightGBM,23.181818181818183,300.188150997922
Mornings Special,LightGBM,23.78787878787879,300.188150997922
Mornings Special,LightGBM,24.393939393939394,300.188150997922
Mornings Special,LightGBM,25.0,300.188150997922
Mornings Special,LightGBM,25.606060606060606,299.71889223850934
Mornings Special,LightGBM,26.21212121212121,299.71889223850934
Mornings Special,LightGBM,26.81818181818182,299.71889223850934
Mornings Special,LightGBM,27.424242424242426,299.71889223850934
Mornings Special,LightGBM,28.03030303030303,299.9652969918253
Mornings Special,LightGBM,28.636363636363637,300.07108486336534
Mornings Special,LightGBM,29.242424242424242,300.07108486336534
Mornings Special,LightGBM,29.848484848484848,300.07108486336534
Mornings Special,LightGBM,30.454545454545457,300.07108486336534
Mornings Special,LightGBM,31.060606060606062,299.95817819281837
